,댓글
0,원노트삼바 ㅋㅋㅋ
1,곧 있으면 재즈클럽에 공연하러 다니겠구만..
2,원 노트 삼발ㄷㄷ
3,비디오키즈😍챠밍조도빠둥이👏
4,재즈계의 발을 내딛다 !
5,아주머니께서...발가락 힘이...참.좋.으시네예..🔥
6,계속해서 내 의도대로 쓰임받지 못하고있는 스카프 🤦🏻‍♀️ 근데 이와중에 잘 어울리는건 뭐야??????
7,Is this an original song or a already existing one? If it is what is it called
8,귀여워
9,꼬랑내가 나는 향긋한 조매력의 째-z월드
10,오 조사장님 구찌 스타일~!
11,발가락쥐날것가탸여
12,오우오우오우 귀호강
13,솔로! 할때 넘나 신나보여🤣🤣
14,Jazzzzzzzzz
15,jazzzz😍😍
16,정말 바로 하시네여 ㄷㄷ
17,최고…. 🙌
18,도저히 지나칠 수 없는 영상
19,웅장해진다..
20,🔥👏…
21,와우 ㅋㅋㅋㅋ 대박 ㅋㅋㅋ
22,큰 거 왔 다 ...
23,와아아아
24,내가 주인공인줄 알았는데
25,#ㅂ
26,이게... 지금!?!?👏👏
27,더 흥해라🙌🙌
28,노래가 차암..좋십니다..댄서들께서 박수를..참..잘치네예..기뻐요..조아요✌✌😎
29,👏👏👏👏수고했어!! 대박대박
30,들어봤는데 노래는 물론이고 컨셉도 너무 좋았어요!!❤️
31,드디어 올라왔군요!!👏👏👏
32,노래 너무 좋았고 앨범 나왔으면 좋겠지만....ㅠㅠ
33,올해 최고의 영상
34,역시 믿고 듣고 보는 조매력!!
35,i love it!
36,h a pp y new year🔥🔥
37,2022도 파이팅🔥🔥
38,조사장님 새해 복 많이 받으세요🔥
39,You too Charming Jo!!! 새복많😂😂
40,소장님 새해복 많이받으십쇼~
41,해피뉴이얼ㄹ~~❤️
42,새해 복 많이 받으세요~
43,형 햅삐 뉴 이어~~~🔥🔥
44,해피뉴이어~~
45,2021년 수고많았어 형아 2022년도 화이팅!
46,새해복 많이 받으세요
47,햅삐뉴이어~
48,어쩐일로 정상이지 했다ㅋㅋㅋㅋㅋ
49,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 이게 조매력이지ㅋㅋㅋㅋㅋㅋ😂😂😂
50,매력님 이번해도 수고하셨고 내년에도 화이팅!👏👏👏👏
51,이렇게 한미통합을 일으키다니 대단하군요
52,조사장 저음 최고야!!! 이러고 듣다가 카운팅 스탘ㅋㅋㅋㅋ 빵터짐 이래야 우리 조사장이지
53,생방으로봤는데 진짜 개재미있었어요 ㅋㅋㅋㅋ 유튜브 70만 구독 다시한번 축하드리고 올 한해도 즐거운 일들로 가득하시길!!!!
54,그와중에 영상 시작할 때 채팅에 섞어불러달라는 챗 있네...ㄷ
55,Need a full version 😂
56,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 너무 웃겨요
57,그래 내가 아는 카운팅 스타는 이거였다고! 했는데 중간에 ?
58,그렇지 이거지 펄이 나와야지
