,댓글
0,과연~!
1,술먹쟈!!!٩(•̤̀ᵕ•̤́๑)ᵎᵎᵎᵎ
2,건강 챙기는 모습 보기 좋습니다🙌❤️
3,와 너무 잘생기셨어요!❤️❤️
4,미모가 좀 많이 빛나는데요 🤔
5,악어님 중2때부터 팬이었는데 이렇게 더 잘생겨지시면 반합니다....
6,금주……….
7,당분간 저요?
8,인간의 욕심은 끝이 없고 같은 실수를 반복한다 진동민
9,개잘생겼다
10,너무 잘생겼습니다 ..
11,멋장이..🥺
12,굿굿~!
13,다음주: 방송하느라 운동을 못했네...다음주부터 화이팅! 😂😂
14,운동 화이팅
15,아니 이제 어깡까지 되버리면..🔥
16,❤️🔥
17,홧팅!!
18,무리하지않고 화이팅!
19,Hi 😍
20,넌 너무 섹시해
21,"@s_dyom_ 다영아 내 중딩때 첫사랑,,,,,,,,, 여전히 머싯지않니,,,,,,,,,,,,,,,,"
22,믓찌다 믓찌다~!
23,악어님있는 헬스장 가고싶다
24,은하 뭐야 ㄷ
25,존잘이다 아거ㅜㅜ
26,내가 좋아하는분 3분이나!!!
27,💛💛
28,은하 ㅜㅜㅜ 악어님도 팬이고 은하님도 팬인데 두분 다나온다니 ㅜㅜ 무조건봐야죠
29,(⊙ρ⊙
30,울 은비언니…🙈
31,게임영상 관련 DM 확인 부탁드려요~
32,생일튜카해😍🔥🔥🔥
33,Happy birthdayy 🥳🎉💜 from Buddy (Eunha) 🤭🤩
34,미쳤어ㅜㅠ 가장 좋아하는 유튜버랑 가장 좋아하는 연옌이 같이 게임할 확률이 얼마나 될까ㅜㅜㅜㅜ
35,Acauu Eunhaa did very welll ❤️❤️
36,🔥🔥🔥
37,👏👏
38,심심하다고 잘생기기 있어요 없어요
39,동민이 잘나왔다 '^'
40,존잘이네
41,역시 세상 혼자사는 외모 악어님..
42,얼굴에 살이 없어요 실종신고 좀 해주세요
43,vv=w
44,염색 무슨색이에욥?!
45,와😍❤️
46,와 진짜 잘생겼다...
47,아이돌..
48,헐!!!너무 이뻐요!! 악어넴 스트레스 받지세요 ㅠㅠㅠㅠ 힐링 좋죠 ㅠㅠㅠ
49,Chevere un viaje divertido
50,3번째분 누구지..?
51,포항항항 오늘도 미모 빛나는구만!!🔥
52,우와
53,나도 여행..
54,포항 !~!
55,언제나 힘내새용❤️👏
56,점점 연애인되가는 듯❤️❤️
57,순간 악어님 뒤에 핸리인줄 😮❤️❤️
58,고등학생이 졸업여행간거깉은데... 훈남훈녀셔..ㄷㄷ
59,"안녕하세요 한국스트리머협회 대표상담사 제프 김 이라고 합니다!
악어님께 DM 보내드렸으니 확인 한번 부탁드릴게용 👏🔥😍😍"
60,첨에 손들고있는쥴
61,와... 원금법 쩐다
62,썬글라스가 멋져요 악어넴!!!ㅠㅠㅠㅠㅠ😍
63,악어형 포항언제가써ㅠㅠ
64,헐....ㅠㅠㅠ 포항이다
65,그래플러ㄷㄷ
66,포항항항
67,😂😂😂
68,💖💖💖🌹🌹🌹🌻
69,멋있따
70,팔 뭐얔ㅋㅋ
