,댓글
0,고수달 화이팅
1,밥형알게 돼서 덕분에 재밌는 한해였슴다 좋은 연말연시 되십쇼👏
2,비숀횽 메리크리스마스☆ 항상 유튜브 잘 보고 있어용 그마 화이팅😍
3,멜크 찬밥님🎄🎅💜
4,내년 소원 - 다이아찍고 앰비션 저격하기🙏
5,"크리스마스 잘 보내겟습니""다1""❤️"
6,강찬밥 어제까지 마스터 0점 이였지만 오늘 그는 다1빙으로 강등되었다. 다딱딱
7,파자마 새거인가요?ㅋㅋㅋ 메리크리스마스!
8,Приятного аппетита)
9,Merry Christmas champ!!
10,찬밥님 메리크리스마스~~~
11,잠옷 귀여우십니다!ㅎㅎ
12,형수님께 선물하신 커다란 다이아 조각상 잘봤습니다.근데 형님은 찍고계시나요?
13,크리스마스 기념으로 왕국으로 귀환하신 찬밥님과 여왕님 메리 크리스마스입니다
14,"Ля какие, красивые сидят с котами🔥"
15,찬밥씨.. 고수달 티어 떨어질때보다 더 행복해보여.. 역시 맹여왕님.. 👍 오래오래 행복하세요오
16,찬밥형 사랑해❤️ 맹여왕님은 언제나 아름다우십니다 🔥
17,엠비션님 유튜브 재밌게 보고 있습니다. 다음엔 큐베 군대 가기전에 놀리는 거 찍었으면 좋겠네요 😁
18,프림이가 왠일로 형한테 안겨잇어요? ㅋㅋㅋ
19,"사억이, 프림이, 쿠키, 맹여왕님, 엠비션님 행복한 크리스마스 보내세요! ㅎㅎ❤️"
20,전…그 어느 가족보다 이 가족이 좋읍니다..
21,형 사랑해🔥❤️
22,너무 행복해보여요 😍
23,형님 행복해보이십니다👏
24,와 교통정리 알바하고 있는데 찬밥형 와서 깜짝놀라서 순간적으로 강찬밥?이랬네 ㅋㅋㅋㅋㅋ 형.. 사진 찍어줘서 고마워..ㅠㅠㅠ
25,찬밥님 사진찍어줘서 완전 고마워요ㅠㅠ 남친이랑 너무 즐겁게 보고있어요!
26,고구마유시?
27,부럽다..
28,잘생겼다....
29,진짜 앰비션 그자체! 사진이랑 사인 감사했습니다!! 여왕님도 뵐수있어서 좋았어요!!👏👏
30,빠따형 기다리는 중.. 여기 추우니까 옷 따뜻하게 입으세요😎
31,고구마유시 ㅋㅋㅋㅋㅋ 사원들 현실에서 처음 보는건가
32,🍠고구마유시!🙌
33,몇시요 선생님...
34,와...난 왜 대구에 살지 않는거지ㅠㅠㅜ 부럽다 부러워..
35,Oe ambition kl te amo ❤️
36,V가 깜찍하십니다 행님
37,마님과 밥쇠
38,Best jg ☺️
39,🔥🔥🔥
40,밥토리!!
41,생각해보니까 이형 생각보다 유명인이였지
42,어쩜 이렇게 멋지고 예쁜 두 분일까...
43,헐.. 오셧다해서찾앗는데안보이시던..
44,형 옆에누구?
45,진짜 밥형 실제로 보고싶다😢
46,앰비션!!
47,강!찬!밥!
48,찬밥씨 생일축하해❤️❤️❤️언제나 건강하고 맹여왕님과 행복하길❤️❤️❤️
49,chu ka ei!!!❤️
50,사진보다 방송이 나으십니다
51,🥳
52,RISE!!! RICE!!! RISE!!! RICE!!!
53,👏👏👏👏👏
54,1깃 2창 생일 추카해요 ㅜㅠ
55,1생일 2선물 축하드립니당!!
56,생일 정말 축하해요😍😍
57,형 사랑해
58,헐 ㅋㅋㅋㅋㅋ
59,@andrezim0 o cara é bão e ainda é um Omi do amor KKKKKKK
60,시계..대박 빠따만 들지마요
61,COMOOOOO TE AMO AMIBITIOOOOOONNNN
62,🙌🙌
63,🙌섬섬옥수네오 ㅋㅋ
64,항상 이렇게 웃어주십쇼 형님 귀엽습니다
65,뒷면 인증 하셔야죠! 앰비션 써진 거 보고파여
66,아이슬란드까지 빠따들고가시는 겁니까? 오히려좋아
67,???: 아 뭐해!! ㅇ...아 나이스샤앗..ㅎㅎ 비디디 믿고있었다구
68,와! 형을 응원세트로 준다니..이건 못참지...
69,밥손실 났는데 인스타 소식 반갑네요 기여우십니다
70,형님 귀엽고 멋있으십니다
71,帅👏❤️🔥
72,마딱도전 ㄷㄷ
73,와 월클
74,"""T1과 GEN.G를 모두 다녀간 진정한 이중스파이"""
75,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 연예인 옆에서도 꿀리지 않는 미모..
76,밥.
77,나빼고 다 잘나가네 ㅡ ㅡ😄
78,와 밥스타..
79,아들뻘한테 가르침받는게 참 대단하다
80,하하가 선생님이고 찬밥님이 학생인거죠?😂
81,오 월틀밥
82,비션이형 젠지좀 살려주세요ㅜ
83,큐베 커여워
84,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아니 표정이 왴ㅋㅋㅋㅋㅋ
85,강씨 좀 웃어 ㅋㅋㅋㅋㅋㅋㅋ
86,이게 행복한 표정이면 질뻑이랑 매칭되었을 때 표정은 얼마나 행복한 거임?ㄷㄷㄷ
87,安掌门爱咯爱咯
88,수금할 초딩을 물색하는 중학생 눈빛같습니다
89,개귀여붐데여?
90,🙄
91,기분 좋은거 맞아요??ㅋㅋㅋㅋ
92,밑에 분명 고수달 깔고앉아있다.
93,고수달! 고수달! 고수달!
94,@wj_9829_
95,??? : 기분 좋은날이라고 한번 말했다.
96,ㅠㅠ 넘 기욥다
97,전 롤드컵 우승자가 키우는 렝가 유미 니달리 잘 보고갑니다
98,더달라 더 !!!!!!!
99,킹ㅜ ㅜ😇❤❤❤사어가 표정 미취겠다
100,ㅠㅠ 짱귀❤️❤️❤️❤️❤️
101,쿠프사
102,@manyhope.tr
103,와 사억이 마니컷네요
104,사억이 돼징
105,와 사억이 너무 귀엽다
106,손바닥만했던 그 4억이가 맞나...?진짜 가슴이 웅장해진다..
107,사억이 보려고 팔로우도 해야 하다니 ..
108,솔랭두판 해도 + 0LP지 않습니까 형님ㅠ
109,이젠 밥뿐만 아니라 빵까지ㄷㄷ
110,솔랭 두판해도 점수만 떨어질거 든든하게 브런치 조지시죠 형님
111,형님 못본사이에 많이 늙..아 아닙니다 (30)
112,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 부부의 삶
113,오늘 사진이 좀 매섭습니다 형님
114,큐손실 멈춰~!
115,하여간 남편들이란 참 ㅋㅋㅋㅋ
116,오늘은 동족상잔 안하셨네요...
117,솔랭 두판해서 2연패하면 손해 아닙니까? ㅋㅋㅋㅋ
118,요즘 젠지에서 밥줄 끊기셨나? 약간 마르신느낌도😂😂
119,Beautiful ❤️❤️👏👏
120,축하합니다요
121,해피밥스데이
122,사랑밥
123,결혼기념일 축하드려요!!
124,스윗밥 축하합니다여 👏🔥
125,오래오래 행복하게 살아요 형
126,축하드려요❤️❤️
127,😍
128,서윗밥...🔥
129,달달밥
130,오늘은 따순밥이시군요
131,스윗밥 축하합니다!!
132,따순밥👏👏
133,내 생일이 결혼기념일이라니😍
134,"""성공한 남자"""
135,😢 부러워
136,❤️ㅡ❤️
137,서윗하다..
138,so romantic
139,찬밥과 찬밥을 요리하는 맹여사님
140,포토제너티브 칭구 ^^
141,결혼좋아최고야!
142,Chị nhà bảo anh giai ambi chúc em thi tốt được k ạ?? 😢
143,AW
144,🔥🔥🔥
145,털밥~~
146,첫번째 모델분 마스터인가요?
147,형~ 나 얼른 자게 유튜브 올려줘
148,형님 다이아처럼 빛나십니다
149,고급 밥...
150,모델차이
151,허 나랑 생년원일도 같고 아이디도 비슷하네;;;
152,사진도더풀어주세여😢❤️❤️❤️
153,맨 앞에 계신분은 모델 질뻑이님 맞죠?
154,털 부러워
155,상남다
156,맹여왕님과 밥신 투샷 너무좋고
157,형 멋있어
158,모델밥 멋있다
159,오 형 멋있어요
160,내가알던 그 밥맛이 아니야
161,머리 잘어울리십니다
162,콰욱
163,강찬밥! 강찬밥! 강찬밥!
164,마지막사진 “다2빙 멈춰~!”
165,앰비션!앰비션!앰비션!
166,멋져요!
167,🔥🔥🔥
168,사진 좀 정성껏 찍어 형
169,형님 어제 만나서 영광이였습니다. 실물이 너무나도 완벽하시더라구요
170,전 오늘 가네요 ㅎㅎ
171,빠따형이다!
172,He is magnet...
173,밥형 좀 웃어
174,여왕님은 그래도 어느정도 차려입고 가는데 형은 그냥 동네외출북같애 ㅠㅠ
175,맹여왕님 덕분에 비션님 패션이 진화하셨다🔥❤️😂
176,입구에서 티어물어보던가요? ㅋㅋㅋㅋㅋ
177,우와~ (다이아)연예인이다!
178,Chị nhà xinh quá anh ơi
179,사진 왤케 흔들리게 찍으셨나요~맹여왕님을 향한 떨리는 마음이 담겼던건가요ㅋㅋㅋ
180,으악 귀여워ㅠㅠㅠ
181,밥냥이들 기여어
182,강찬밥강찬밥강찬밥
183,저저...사어기맞아...? 저저 고양이확대범 ㄷㄷ
184,꾸끼사어기❤️❤️❤️토실토실
185,프림이 넘모 소듕해...
186,강친밥
187,이 사진.. 폭력적이다...
188,부럽다 그의 근무환경
189,마지막거 동영상 소리가 뭐지.....
190,사랑해😻냥애기들☺🥰
191,앰비션님 디엠 한번만 봐주시면 감사하겠습니다!
192,🔥🔥🔥
193,네메시스 코가 더 컸어야....ㅋㅋ
194,앰비션님과 2021년을 함께 할 수 있어서 그저 영광과 행복..🥰
195,WTF where is ruler!!!!!! :(
196,Nemesis?
197,Nemesis?????from FNC?
198,🍚🍚🍚🔥🔥🔥
199,CuVee
200,강찬밥! 강찬밥! 강찬밥! 강찬밥! 강찬밥! 강찬밥! 강찬밥! 강찬밥! 강찬밥! 강찬밥! 강찬밥! 강찬밥! 강찬밥! 강찬밥! 강찬밥!
201,오 일러스트 짱 멋있다👍👏
202,"@ambition921027 안녕하세요
우리는 당신을위한 제안이 있습니다.
요청을 참조하십시오."
203,nemesis?
204,🔥🔥🔥
205,드디어 밥을 데워 먹을 수 있게 된 건가요??👏
206,아침밥 챙겨주셔서 감사합니다 히히ㅣ
207,아 ㅋㅋ 든든한 국밥튜브 못참지
208,하루 두끼 든든하다
209,설거지 청소 딱대 ^^
210,5252... 정말로 분열해버린 거냐고..
211,Now I can't sleep...
212,하루 종일 유튜브만 보게 만들려고 아주;;; 인생 망하면 책임지실겁니까 형님
213,앰비션과 강찬밥입니까
214,축! 끼니는 꼬박꼬밥😆
215,똥싸는거 올려죠요 🔥
216,2021도 다이아 밥!
217,찬밥이형 촬영했다고 하는데 혹시 나오나요ㅋㅋㅋㅋㅋ
218,강찬밥! 강찬밥!
219,우와 멋지십니당 좋은곳에 쓰였으면 좋겠네요👏
220,멋지십니다 형님
221,하 레전드👍🏻
222,고봉밥! 고봉밥! 고봉밥!
223,뭐에요 내용이 안 보여요 🤨🤨 빛 밖에 안 보여요 🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟
224,다 가지셨네요 강찬밥!
225,새해복 많이 받으세요!
226,따순밥
227,형..당신은 God지은 밥...😭
228,따순밥! 따순밥! 따순밥!
229,강찬밥!
230,👍새해 복 많이 받으세요😻
231,날이갈수록 귀여워져❤️🧡
232,엌ㅋㅋ 귀엽당
233,해피 밥리스마스~
234,큐트 하시네여 형님
235,행복밥! 메리크리스마스에용!
236,-밥-
237,에욱....
238,밥형 사랑해요
239,바론님: 아 좀 올리게 웃어봐 (찰칵) 아 이게 뭐야 다시 찍자 (3번 반복) 하 그래 이거 올리자
240,"Merry CH""RICE""MAS"
241,잠옷 봐 ㅋㅋㅋㅋㅋㅋㅋ @h.yoeny
242,비션님... 디엠 봐주실 수 있나용 😋!
243,강찬밥 우승!
244,Ambition kr 친추 주세요 찬바비형
245,마딱마딱마딱!
246,그저 밥...
247,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ강찬밥
248,강!찬!밥! 🧡
249,마스터 갔다고 좋아하는 전프로 ㄷㄷ
250,강찬밥! 강찬밥!
251,형 마스터 축하하구 🔥👍다음시즌은 그마달려보자ㅏ~~
252,밥스터 👍👍
253,형 축하해요 언제나 그렇듯 사억이 사진 좀 올려줘요
254,고양이 털보소...
255,트름아닌가요
256,사억이 ㅗㅜㅑ
257,아이구 쿠키 주말에두 동생 놀아주느라 피곤하것네
258,@haroosar2 사억 존귀 마지막에 점프하는거까지 봐
259,사어가 나주거~~~~~~~~~~
260,귀여워ㅠㅠㅠㅠㅠ구룩구룩
261,저 귀여움 심장에 매우 해롭다...❤️
262,사억아ㅠㅠㅠㅠㅠㅠㅠㅠ
263,😍😍
264,앰비션님 게임 때려치고 고양이 유튜버 갑시다😍
265,쿠키가 고생이많아 😹
266,사억이 너무귀여우ㅜㅠㅠㅠ
