,댓글
0,마지막 행복해 보이니 댓어 ㅋㅋㅋㅋ
1,ㅋㅋㅋㅋㅋㅋㅋ 진ㅁ자 너무 귀여워잇 ㅠㅠㅠ
2,ㅋㅋㅋㅋㅋㅋㅋ전립품 귀여워쎀ㅋㅋㅋㅋㅋㅋㅋ❤️
3,마지막은 블리자드코리아로 반송해야될것같은데 형 ㅠ
4,이형은 왜 받은거야ㅋㅋㄹ
5,필요 없으면 중고나라에 파세요
6,음성인식되는거 개웃기다
7,옵치?....어째서 눈물이?
8,표정 귀엽^^ㅋ
9,오타 아이부끄려~
10,~_~
11,"놀면뭐하니?? 용돈벌자
카톡채널 “go 인싸”
검색하셔서 문의해보세요~ ⭐️일당 3만적립"
12,뉴턴이 형 보고 웃잖아
13,저거 까진 먹지마 ㅋㅋ
14,"저건 한 80 되려나,,,"
15,붜야 이거 물시계야?
16,오오오🔥
17,참고로 저 원리를 이용한 마술이 나우유씨미에도 나옵니다
18,뉴턴이 욕하는 소리 들린다
19,무..무..무슨?!?!
20,나 왠지모르게 댓글보고 거 멍청해진거 같아
21,과학계가 뒤집어질 성질인걸?!
22,이거 어디서 구매할수있나요?
23,무슨!
24,가성비는 떨어지는데 개간지잖아?
25,형 개간지난다
26,머시써
27,군침이 싹-사라지노
28,🔥🔥🔥🔥
29,🙊🙊🙊
30,ㅋㅋㅋㅋㅋ 겨울슈트가여기서힘을 발휘하네 ㅋㅋㅋㅋ
31,이거울머도기가쵝오야진짜 진짜 박진수 세계최강 잘생겼다❤️❤️
32,싸이펄!
33,싸이퍼 보고 반햇음
34,B급 영화에 나오는 악당같이 나왔네ㅋㅋㅋㅋ
35,앗살랏마마이쿰 이이
36,😂
37,머도기 2012로 회춘하넹
38,ㅋㅋㅋㅋㅋ
39,아 개웃기네ㅋㅋㅋㅋ
40,뒤에서 흐뭇~ ㅋㅋㅋ
41,뭔데 닮았엌ㅋㅋㅋㅋㅋ
42,@2o_se0 ㅋㅋㅋㅋㅋㅋ아개웃겨
43,@isuho0913 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ개겹노 ㅠㅠ
44,@kdh1152 ㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋ
45,@e_hhdo ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
46,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
47,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
48,선바 얼굴 왤케 작아보여
49,ㅁㅊ조합개좋아 @cha_two_
50,ㅋㅋㅋ
51,와 이조합 너무좋아 쉽덕사
52,형 어디에 있어? 않보이는데
53,진수스...거의 두배..
54,형 일부러 맨 뒤 간거야?
55,쏘대장을 위해 무릎꿇어 준거야?
56,@ahmato_o ㅠㅠㅠ
57,선바님 머리 작아 보여요 아 신기해
58,@_xx.xin 아니 예 ? 아 .. 예? .. ㅇㅖ???
59,@olaeurl
60,어딜 내놔도 부끄러운 우리 형
61,진수형 멋져👍
62,바지는 왜 꼭 반바지여야 하는가
63,조각같은 남자 머도기~!
64,그의 무친 패션 감각은...
65,아니 ㅋㅋㅋㅋㅋㅋㅋ 진짜 미쳤다ㅏㅏㅏㅋㅋㅋㅋ ㅋ진수형ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
66,돼지껍데기가 반짝거리네
67,나이트삐끼 머독👍👍
68,어디에다 내놔도 쪽팔린 우리형..
69,정상이형은
70,와 거울옷 ㄷㄷ
71,신발 이뿌당
72,ㅋㅋㅋㅋㅋ이거뭔데
73,ㅋㅋㅋㅋㅋ
74,@_qqiois
75,이거 강호동버전도 있는데
76,막짤에 공포게임 사진을 왜 넣으셨나요
77,으악 이게뭐야
78,나 저거 봤엌ㅋㅋㅋㅋㅋㅋㅋ
79,머도가 꿈을 이뤗고만
80,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ기여워ㅠㅠㅠ
81,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
82,존나머독
83,머독아 갱 이대로 살아
84,ㅋㅋ 소금알갱이 넣어놓고 다이아라 해도 진수쿤 믿을듯 ㅋㅋㅋ
85,궁금했었는데
86,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 머독님 짱
87,🤔
88,어림도 없지
89,아 선생의 보석들은 다 모조품이니 그만돌아 가세요
90,마지막짤도 보석인가요?
91,그래서 가격은 어떡게된거냠😮
92,값어치가 없닼ㅋㅋㅋㅋ
93,아앗.......
94,아아....예쁜쓰레기엿습니다...
95,😂😂😂😂😂😂😢
96,ㅂㅈㅇㅇ ㄲㅈ...
97,내 차는 그렌져~
98,와 머독과 선바는 무슨조합이지 ㄹㅇ
99,헐 선바님ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
100,머장 그래서 ㅂㅈㅇㅇ ㄲㅈ보다 못했다는거지?
101,와 머독 선바 머리로만 상상했던 조합인데 현실이 되다니 ㄹㅇ 미쳤다 수고하셨어요!
102,머해가오 ㅋㅋㅋㅋㅋㅋ
103,머도기 사랑해여
104,내게 지금 필요한건 달콤씁슬한 사랑?
105,5번째사진 완벽하내요👍👍👍
106,머독형 살빠졌어?
107,와 진짜 선독 조합 개지린다 이게 뭔 조합이지 신선해서 죽을 것 같아
108,베네핏이라능 크게 봐야 좋은거징^^7
109,ㅋㄱㅋㄱㅋㅋㄱㅋㅋㄱㅋㅋㅋ
110,크잖어 그냥 크잖어..
111,혼자만 확대해서 올리시면 어떡해요~~~~~~~~
112,부피가 크니까 밀도는 작겠지?
113,기분탓이져...
114,ㄹㅇㅋㅋ
115,쥰내푸짐하누 ㅋㅋㅋㅋㅋㅋ
116,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
117,머독 가르막ㅋㅋ
118,가짜사나이1 화이팅
119,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
120,어쨋든 살....
121,보관해뒀다가 손님왔을때 드리면 딱이네요👍
122,형 마지막 사진은 저팔계찍은거야?
123,이미 물렸노
124,닭가슴살과 프로틴? 형님 배가 부르셨군요?
125,@brother__233
126,마지막 8번사진도 블리자드에서 보내주신건가요? 토실토실해서 먹음직스럽네요^^;;
127,미쳣다 장패드 하나만..!!
128,이거 새로운 warcraft 게임이야?
129,5만 명 이 엊그제 같앴는데 7만명 이나 됐네? 많이 컸다ㅋ
130,그래서 마지막 사진이 식량이죠?
131,형 어짜피 이거 안하자나
132,ㅁㅇㅁㅇ~
133,똥빼로야?
134,(똥모양으로 만든거면) 엄청 잘만들었다~^^
135,빼빼로가 아니라 걍 초콜릿덩어리인듯 ㅇㅡㅇ
136,@doheon.gweon 개웃기네
137,좋으면서 왜구랩
138,형 배찌 옷 잘 어울리네
139,형 무슨 조카한테 빼빼로를 받고 그래...
140,동족학살
141,똥빼로 맞죠?!
142,뒤틀린 황천의 빼빼로 먹방
143,그래서 맛있었엉?
144,목 두께가 ㅋㅋ
