,댓글
0,"maid berry 😳😳😳 , thanks for today stream, it was fun , nice cheating at the 30 sec plank exercise 😂"
1,"Cat maid 😳🔥 Thank you for a fun stream, hope you learned some new tricks for the dance 😂"
2,Jesus Berry you are the most beautiful lady who I saw in my life 😍😍❤️❤️❤️
3,stream had such amazing energy 😊🥳 rest well after cleaning dude 😴😴😴
4,"😍😍😍😘😘😘
Love you ❤️"
5,"I wish I had a maid like you who do the cleaning every two weeks in my apartment. 😳

Your hairstyle and make up looked very adorable in today’s stream. 🥰"
6,❤️❤️❤️🔥🔥🔥 cute and beautiful so adorable nice maid outfit
7,All beautiful👏👏👏❤️
8,어머 이 메이드 청소 대신해주고싶다...
9,"I can""t see u today 😢😢"
10,당신은 정말 완벽해요!❤️❤️❤️❤️
11,Beautiful ❤️❤️🤗🤗🥰
12,언니 이원피스좋아하지?
13,not too late i hope... but thanks for your hard work 🔥
14,Hope you did not miss or got too late to acting class or something other you wanted to do today. If not then is nothing wrong with it to sleep late. 🥰
15,잘 자고 일어났나요? 보통 밤새고나면 하루 수면의 1.5배는 자야 좀 회복되는 느낌이더라😮
16,"Good, you deserve to sleep well anyway 😴👍"
17,"Don't worry about it, sleep is important"
18,"😍😍😍😘😘😘
Love you❤️"
19,사진도 딱 침실이네 2번째 사진 자다깨서 짜증난 베아가❤️
20,A princess can never be late 😂🔥❤️
21,"If this ever become a berry doll 😍,omg i want the whole set 🔥❤️🔥❤️"
22,Berry how are you so perfect ❤️❤️❤️
23,미인은 잠꾸러기?❤️❤️ㅎㅎ
24,넘예뿌다공주😍😍😍
25,😍❤️😍❤️😍❤️😍❤️😍❤️😍❤️😍😍❤️😍❤️😍❤️😍😍❤️😍❤️😍❤️😍❤️😍❤️😍❤️😍❤️😍❤️😍
26,Cutest summer princess 🔥😳❤️
27,What is your desire most beautiful and gorgeous princess in world? 👸
28,Why always cute 😢❤️
29,Berry Princess😍😍😍
30,🥰💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕
31,어머 이 숲속 공주님 너무 예쁘다❤️매일이 행복하셔야하는데
32,❤️❤️❤️❤️🔥🔥🔥 hot and gorgeous
33,You look so amazing ❤️❤️❤️ absolutely gorgeous 💞💞💞
34,"😍😍😍🥰🥰🥰
Love berry❤️"
35,웃는 공주는 세상을 더 행복하게 만든다 😊👑
36,Wow u look cool
37,Wow u look cool
38,누나 늘 응원합니다.
39,오오 잠자는 숲속의 공주같다😮판타지라니...
40,"photos are so cool, loved seeing more of them on your likey 🔥🔥🔥🙌🙌🙌"
41,너어어어어어어무 예쁘다 패션 화보에 실린 사진 같아 ❤️
42,"Sleeping beauty 😳 good job on the 1st concept photos, they look amazing 😍🔥"
43,"Amazing pictures, can't wait to see more !! 🔥"
44,Oh my😮
45,Woah!😍❤️
46,♡♡♡너무이뽀요♡♡제 최애♡♡
47,You are the sleeping beauty from the fairy tale right? Excited to see future content. The start was already awesome.
48,못하는게.. 도덕책..
49,DJ Berry on the beat 🔥🙌😎
50,화이팅!!😍😍😍😍
51,Soon ready for the big stage 🔥🎧👏
52,DJ Berry is in the place !! 🤟🔥 it was fun
53,"DJ Berry! 😎
Berry so multitalented. 😮"
54,디제잉에는 별 관심없었는데 신기하더라 의외로 이론적인 😮
55,Nice very very nice❤️❤️❤️❤️❤️
56,😮DJ Berry? 🤩💖🍓💖 I would gladly listen to you. 😊
57,베리씨도 디제잉의 세계로 빠져드셨다..👏👏👏
58,"👏👏👏 good job, 1st step of a bright future ❤️❤️❤️"
59,❤️❤️❤️ nice good job 👍
60,Why not both😍❤️
61,난 둘다 넘 좋다😍
62,Queen Berry is nice but go with Nerd Berry here! 😍
63,nerds are queens 🤓 회복이 잘되다 여왕 🙌👑
64,nerd berry is funny 😂 i like it better
65,"😍😍😍😘😘😘
Love you❤️"
66,찐따베리 취저다..❤️
67,둘다존재하는 세계관은 없나요
68,퀸베리❤️❤️
