,댓글
0,도담이❤️❤️❤️❤️❤️❤️
1,궈여워요😢😢😢😍😍😍😍
2,도담이 더 이뻐졌넹 ❤️❤️❤️🔥
3,도담이 더 이뻐졌네 ㅋㅋ 귀욥다❤️❤️❤️❤️❤️
4,도담이 보기만 해도 너무너무 귀엽고 사랑스러워요!!😍❤️😍❤️
5,세상 사람들 이 세상에서 도담이가 젤 귀여워요♥️♥️
6,어어 어쩜좋아 진짜 너무 귀엽다 ㅜㅜ😍❤️
7,귀여운 손가락이네요❤️
8,감자도 나왔으니까 감자주먹밥이네😻😻
9,솔직히 도담이는 고양이 모델해도 될거같음. 너무 이뻐❤️❤️❤️
10,와...내가 본 고얌미들중에서 제일로 이쁘다..😲👍❤
11,어머어머 너무귀엽자나❤️❤️
12,형 머리색 너무 이쁘다아!!!❤️❤️❤️
13,머리 예쁘게 잘된것 같은데 누나는 만족이시려나 예쁘심다 ㅁㅅㅁb
14,5시간이 아깝지 않네요 ♡♡
15,은은하네요
16,머리색 이뿌다😍😍😍
17,❤️
18,ㅓ
19,늦엇지만 생일추카해요!
20,❤️
21,"허경영강연짤:(ALL SUB) 영혼은 어디에 있나요?
우리 몸안에 있는지요? -허경영 하늘궁 질문-
https://www.youtube.com/watch?v=5_uqN7uvdf0&list=PL8LfhYFK8s7rq9LWGZZWLgONQNLK13Hpv&index=39"
22,강지님 저두 샴 키우는데 얘가 요즘들어서 털을세워여 이거 왜그런거져?
23,가끔식이라도 인스타 업데이트좀 해줘여 감자씌 넹!??
24,이야 진짜 레전드❤️❤️❤️❤️
25,역시👏👏👏👏 강형 대단하군😍😍😍
26,와 수제 ㄷㄷ
27,캬~😢 군침이 싹 도노^^😍❤️
28,강지누나님편수제빼빼로
29,아무 소리해도 강형이 만든건 내꺼야! 다비켜(?)
30,강맘이 만드신 거군... 이건 절대 강지님이 만들수 없는 퀄리티야...
31,맛있겠다 ❤️😍❤️
32,와 머야 하나만 주시면 안잡아먹겠습니다ㅠ
33,헥헥
34,와 이쁘다❤️❤️❤️
35,하나만 줘 😢
36,와..너무 이쁜거아님..?
37,눈이 너무 이뻥
38,으.... 너무 귀여워서 심장이
39,ㄱㅇㅇ
40,똘망똘망하구마잉
41,도담이 ㄱㅇㅇ~
42,진짜 고양이 중에 젤 이뻐
43,도담이 눈에 구슬 넣었니?너무이뽀오
44,😍
45,컵엽
46,아구 기엽당
47,도담이 눈 구슬이야? 영롱하고 너무 이뻐 😍
48,얘끼 시첸줄알긋네
49,뭔가 저기서 자는거 같네 나 자주 저기서 잤는데
50,❤️❤️
51,귀여우셔.. 누가 공이고 사람인지 모르겠는걸?
52,우ㅘ 형 영어 잘한다
53,커여워😍
54,언니 다리길이 미쳤다
55,😂
56,나래에나의 모어쩌고저쩌고
57,뉴스속보입니다. 커여운 정강지씨가 공에 파묻혀 시청자들에 코에 피가 나기 시작했습니다
58,ONWARD AOSHIMA !
59,꺄올 귀여우셩
60,본업이 모델인가요
61,아이 예뻐라
62,갬성 무야..
63,언제와 지루해
64,간-지
65,😂😂
66,존예포스…😍
67,뽜숀 굿
68,간지나시네 완전 멋있으셔😍
69,언니 왜 모델 안했어? 완전 모델핏인데!!
70,그 바람아 반대쪽으로 불어서 강지님 얼굴을..
71,❤️❤️❤️❤️❤️❤️❤️❤️❤️와 비율
72,상어도 피하는 패왕색👍👍 잘 쉬고 있구먼유
73,강형 링피트하고 날씬해 졌구나😂
74,즐거운 시간👏
75,분위기 끝내주네요
76,❤️❤️❤️
77,take a long rest~
78,강형 늘 응원해 👏👏👏
79,오와오와오5555
80,신발 정보좀 알수있을까요 !
81,thank you and you
82,아앍ㅠㅠ 언니 이뻐요❤️❤️❤️❤️!!!!!!🔥
83,가오나시 같아요 ㅋㅋㅋㅋㅋㅋㅋ
84,강아지 귀엽다
85,귀여웡♡♡♥💘❤💓💔💕💖💗🧡💙💚💛💜🤎🤍🖤💝💞💟❣
86,넘모 커엽고~
87,ㅋㅋ 코골이 ㅋㅋㅋㅋㅋㅋㅋ 귀엽다
88,자고 이써염? 머여 넘 기여워억
89,사람 사진인가 ㅋㅋㅋㅋ
90,나도 키우고 시프다
91,희망이ㅠㅠ개커엽누♡ㅎㅎ
92,ㄲㄲㄲㄲ걱ㄲㄲㄲㄱ.....ㅎㄲㄲㄲㄲㄲㄲㄲ....ㅎ....ㄲㄲㄲ꺼거ㅓㄲ걱걱ㄲㄲ..
93,게임영상 관련 DM 확인 부탁드려요~
94,커엽당😭
95,강지님 셀카
96,버츄얼??
97,너무 예뻐요ㅜㅠㅜㅠ
98,너무 이쁘네요
99,운지!하아 언조비카이!
100,❤️❤️
101,@songdaeseon8 좋아요 되어있는거 뭐냐?
102,언니 팬이에요!!!😢너무 예쁘당💗
103,우왕 너무 예쁘다
104,나 진짜 팬됨
105,님의 아바타 귀엽고 예쁘시네요.
106,언니 이뽀❤️
107,❤️이쁘다
108,언니 머져
109,🤙
110,열심히 하시네요 힘조절잘하셔야해요 부수지마시고....
111,드럼 재밌졍ㅎㅎ
112,누나 이제 악기까지 하는거야!!! 누나 실력에 심큥!!!
113,twice
114,무 무서워요 ㅠㅠ
115,ㅋㅋㅋㅋㅋㅋ뭐 부시는줄
116,기타를 치셔야죠
117,그와중에 크래쉬 심벌 자리에 라이드 심벌 끼워놨네
118,강형 드럼부시면 안된다?
119,드럼은 재미있지 ㅋㅋ
120,넘 귀여버❤️
121,오오(❤ω❤)도다미 귀엽다!
122,아.. 너무귀엽고😍😍
123,기엽당
124,도담이 커엽
125,강아지?고양이?
126,전완근 미쳤다....
127,로...롤렉스..?
128,😻❤️❤️❤️
129,ㄱㅇㅇㅜㅠㅜㅠ❤️
130,커엽다리
131,꺄아아아앙 후욱후욱.....ㅓ다리흐니파ㅠ머kfbzondkㅓ:~?*^(*@★=(#
132,헐 아폴로다!!!!! (참고로 08년생)
133,장난감필통 ㅋㅋㅋㅋ
134,어린시절 때는 2009년 나의 동심을지켜준 또봇 지금은 초심을 잃었다............
135,ㅋㅋ동심 페키짘ㅋ
136,아폴로 먹구싶다..
137,와 추억의 또봇
138,매미자석 오랜만이네요ㅋㄱㅋㄱ
139,추억이다
140,아폴로 고무줄로 묵겨있는거 근본있내😂😂
141,ㅋㅋ
142,매밐ㅋㅋ 자석ㅋㅋㅋㅋ 오랜만이네요
143,저 또봇은 언젠가는 동심파괴를 할겁니다 (아 저거 아폴로 그거 따라한게 근ㅂ)
144,맛있겠다 군침도네
145,한입만 주세용ㅜㅜ 넘잘만들었다😢
146,이게 그거인가? 먹으면 돌아올수없다느 커혘
147,맛있게따....츄릅..
148,와
149,"★★재택알바★★
https://bit.ly/3ucJbVC
★초기비용 없음
★첫날 근무종료시 ""1만원""즉시 지급
★학생,직장인,워킹맘 누구나"
150,맛있겠다.....
151,와 어디서삼? 안산 어디지 나도 안산이여서 살수잉ㅎ는데
152,와 진촤 잘만들었따!
153,와 맛있겠네요❤️
154,오모나~강지님 시집가도 되겠어요 넘넘 먹음직 스럽게 잘하셨어요^^
155,맛있겠다❤️
156,이런날 광합성 한번씩 해야 좋죠
157,"날이 좋아서, 날이 좋지 않아서, 날이 적당해서, 그렇게 백년을 살아온 어느 날, 첫 사랑이었다. 고백할 수 있기를 ..하늘에 허락을 구해본다.. 라는 대사가 생각 나는 글이네요 ㅎㅎ"
158,이제 얼공 가나요 ㅎㅎ😂
159,❤️😍❤️❤️😍😍❤️
160,날이 좋아서...날이 좋지않아서...날이 적당해서 강공지주와 함께한 모든 날이 소중하고 좋았다..
161,강지님 소원이있는데 얼공좀해주세요😢😢
162,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
163,얼공...아니네;;
164,피지컬 오져요ㅜㅠㅜㅠ강언니❤️
165,날이 조치 아나서….
166,어 한울공원.....?
167,멋진 하루!?
168,코시님배가 악녀님한태 맞은거같은건 기분탓?ㅋㅋ
169,지옥에서 온 쿠키들...
170,순간 살려줘 라는 소리가 들렸는데 분명히....제가 잘못 들은거겠죠^^;;
171,달....고나 아님?
172,ㅈ..주겨줘..
173,그냥 죽여...
174,달고나인줄❤️
175,오징어게임
176,강지가 쿠키런마녀면 생기는 대참사
177,달고난줄
178,언પ 레알 개졸기에여.
179,달고나 쿠키
180,아프지 마라요
181,아프지마요ㅠㅠㅠ😢
182,😢😢
183,ㅠㅠㅜ 아프지마세요 ㅠ
184,강즤누님 아프지마여ㅠㅠㅠ
185,"ㅠㅠㅠㅠㅠ흐..흑..아프지마요,...ㅠ"
186,ㅠㅠ
187,우와너무예뻐여
188,아프지마
189,아프게따ㅠ
190,아프지마요ㅜㅠㅜ
191,아프지마세요 아프시면 제가 더 슬프잖아요 ㅠㅠ
192,ㅋㅋㅋㅋ넘 커엽❤️
193,섹쉬한 자태
194,강지님 카페 가입 신청했는데 받아주세요온
195,😢❤️
196,귀여워~
197,회장님 포스
