,댓글
0,오빠사랑해
1,어쩌라고
2,장염걸려라 ㅋㅋ
3,오빠 나도 잘먹을 자신있는데😘
4,마시쪙? 마시쪙!
5,맛있겠다 오빠❤️ 나도 다음에 데려가줘
6,형 사진 뭔가 잘못된거같은데
7,❤️
8,오빠 사랑해
9,섹시해
10,흐에!!!!!!!!
11,쥐환오뽜!!!!!!❤️❤️❤️❤️
12,@hxuub_x 물쥐 ㅜㅜㅜ 기여워
13,누가 건방지게 담배 피우래?
14,오빠 사랑해요
15,사랑햐
16,에휴 하루만 얘 해보고싶네
17,리치!!
18,옆모습 ㅈㄴ잘생겻네
19,오빠 진짜 개잘생겼어요 뒷모습 사진
20,너무 잘생겻따…….😍😍😍😍
21,@jeong_hui_yun 게무찌 목젖 섹시한거 봐
22,넵
23,텟카이.
24,@taebro_o 갖고 싶다 마원 하
25,@ji_hwanzzang 더러워요 오빵 ❤
26,@jdo_bby 이것도 혀 은근 기네
27,지건!
28,@jhhn_zz 빨리 범고래사야겟다 커플싱발하게
29,쥐닮았당😍
30,@gyurimun 잘생겻지않냐?
31,🙌🙌🙌
32,존잘❤️❤️❤️❤️❤️❤️
33,누가 건방지게 게시물올리래?
34,거울좀 닦아주세요 장쥐환쒸
35,괴물지의 찐따샷 ㅋㅋ
36,오빠 사랑해 오빠는 최고야 ❤️
37,❤️
38,지환씨.오늘도.좋은하루^^*
39,@da_velyness_ 말투 개욱기네 ㅠㅠㅠ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋ 먼가 ㅈㄴ 찐가틈 기여웡
40,쥬지몰
41,귀엽
42,누가 건방지게 쇼핑몰가래?
43,오빠 옷 사서 기분 좋아보이네요 🤍
44,@eudemo.nic 아놔 유호빈 닮아보임
45,@h_n_p_r ㅋㅋㅋㅋ귀여운 찐같다
46,사라왜요....너무잘생겼오...
47,뭐라는거야 ㅅㅂ 하
48,흐에!!!!!!
49,어드밴스 29 3임?
50,@2youn9_ 핑까좀
51,까리
52,ㄱㅂㄹ
53,지환씨.그만둬.
54,@dfrt_19_ 자르쉐
55,형아 ㅁㅅㄷ
56,❤️
57,누가 건방지게 자전거 타래?
58,❤️
59,좋네요 ㅇㅇ;;
60,저기 대전 백화점 생기는곳 아냐??
61,ㄷ ㄷ 찾아가야지
62,잘생걌다
63,우리집앞에도 너가 있었으면 좋겠네요 ㅇㅇ;;
64,남ㅅㅣㄴ강림
65,오빠 멋져❤️❤️❤️❤️
66,@seunghwan_227 장지환 집 앞 근처에 사는 남자 이승환
67,오빠랑 같이 가고싶당 ㅠㅠ
68,형님 낭만 줮대네요
69,사ㅏㅇ랑해
70,누가 건방지게 이쁜곳가서 사진찍으래?
71,@yeoni___yam 여기 가본적있엉??
72,여기가 어딘데 이새끼야
73,갈테니까 사주세욤
74,ㅇㅇ;;
75,찐따같아
76,ㄷ ㄷ 대전으로 이사가야지
77,아니 어딘진 알려주고 가보라 해야지
78,@leciellrose 하.. 대전맛집 꼭 간다
79,사줘
80,@simbowon 요기도가보자
81,누가 건방지게 맛잇는거 먹으래?
82,어딘데
83,@fe__e1 오빠 가장
84,진짜 어깨좀 어떻게 해줘
85,지환씨.굳.^^*~
86,화려한 차와 옹졸한 어깨
87,오우쉣!!!!
88,@jun.__.bro @lim___do @kkh_m1 @s._e_.ok 야 애더라 울오빠 나랑 겨론할 식장 가따옴
89,@yangstarrrr 너네오빠 멸치핏 오진다 🤎
90,@chan_7242
91,아 형 옷핏 지린다
92,나랑도 가자 결혼식
93,누구 맘대로 멋지래?
94,ㅈㄴ멋지다.. 어깨에서 깨긴 하네
95,와
96,코 ㄷㄷ😂
97,오빠 보고싶어
98,@hun_1236 말투 나만 찐따같냐
99,지환이 막짤 기여어 ❤️
100,코 존내 커 ㅋㅋ
101,나도 대전사는데 여기 ㅈㄴ맛있음ㅋㅋ
102,맛있겠다하고 사진 넘기다가 막짤보고 씹정색함ㅋㅋ
103,누가 건방지게 소고기먹으래?
104,귀 여 워
105,말투 사랑해 ㅜㅜ
106,형 우리아빠 소고기집하는데 구미와
107,저 콧구멍ㅋㅋㅋㅋㅋ
108,55세 부장님을 위한 장대리와 여직원(인턴)의 모임
109,.
110,🤍🤍
111,가족사진아니냐?ㅋㅋㅋ 박종우 아부지같네
112,쥐
113,마지막 피박님 얼굴 직스 w 터지기 직전이네
114,지환아 긔엽다
115,굽
116,지환형 이빨 존나 하얗네
117,누가 건방지게 외출하래?
118,스케줄갔네 사랑해
119,@seohui_01 진짜 잘생겼다 싀발
120,오빠라는 말보다는 형이라는 말이 더 적합하지 않을까요?(쥐순이없잖아ㅋ)
121,@choi_geunhwan
122,지환아!!!!@@@@@&@
123,오빠 차 더러워지면 말해 내가 핥아줄게❤️
124,@serin_ccc 솔직히 좀 잘생겨보였지
125,@gyum._out 니남친이다
126,날 대리러와
127,오빠 차 긁었다
128,사랑해 장지환
129,@jhhn_zz 오빠 코커도 폴쉐타
130,누가 건방지게 차 뽑으래?
131,앜시발섹시해
132,얼씨구 ㅋㅋ
133,지환아 형 면회와라 계룡이다 6트
134,@yunseong8752
135,@bin_njb 너도팔로우해ㅋㅋ
136,옆에 있는 사람이 쫀득인가요?
137,오빠 넘 귀여워요 !!😍😍
138,@p._.kyun 코르쉐
139,ㅋㅋㅋ
140,신난거 보니까 지건 놓고싶네
141,흐에!!!!!
142,누가 건방지게 머리 새치 놔두래?
143,@eun.s_21 오빠 사랑해요 ❤️❤️❤️
144,물쥐형 나도 데리고 가줘
145,👏
146,셀카 올려주세요
147,두번째 사진은 똥임 ?
148,역시 월3억 쥐
149,@dr.particular 사진진짜못찍는다.. 맛없업ㅗㅕ
150,아니 ㅋㅋ 접시위에 똥을싸면 어떡하냐고 ㅋㅋ
151,😻
152,@0_syyyy
153,형 두번째 사진은 석탄이에요 ?
154,누구 맘대로호텔을가?
155,뜨밤
156,뭐야 오빠 ?
157,😍
158,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 너무 못생겼는데 매력적이다
159,마지막사진 코돌프냐?ㅋㅋ
160,@jyjyjyjy0
161,흐헤!
162,어멋 내동네 ㅎㅎ
163,형 사랑해
164,코 ㅈㄴ크다
165,세종 우리집으로 와
166,사랑해❤️ 이제 그만할껭 ㅎㅎ
167,세종시 행차 하셨습니까
168,@_ahsibal 내사랑
169,형 진짜 지 멋대로 생기셨네요
170,@eun.___.seo_ 울오빠 코 어떰?
171,아 존나잘생겼다 진짜
172,지환이형 코 진짜크다 😮
173,짖짜 코 줫나크네
174,쥐닮았다
175,@jhhn_zz ㅋㅋㅌㅌㅌㅌㅌㅌㅋ아기엽지 ㅋㅋㅋㅋㅋㅋㅋㅋㅌㅋㅋㅋㅋㅌㅋㅋ
176,코 진짜 크네용 보기 좋다!
177,맛있겠다
178,그표정
179,잘생겼다
180,옆집 67세 김찬호씨가 좋아할만한 .. 노련한 술이네요 .. !
181,@junsuuuuuuuyuu 이이이이ㅣ기이이깅기모링
182,친구들은 떡대 좋은데 왜...
183,진짜 ㅇㅇ;; 이거 개찐같음
184,어이장씨̆̈~
185,일찐쥐 ㄷㄷ
186,쥐환아 친구분들은 잘생겼는데 넌 왜..
187,환아
188,장지화이
189,사랑한다고
190,제일 잘생겼네
191,ㅇㅇ;
192,와 코보소
193,코밖에안보여
