,댓글
0,머리 잘랐네 예쁘다 예쁘다
1,요즘은 입금후 김블루와 입금전 블루가 차이가 많이 없는듯..
2,충격적인건 후드티가 아니라 맨투맨이다.. 🔥🔥
3,그만 잘생겨.... '그'만 잘생겨🔥🔥🔥🔥
4,요즘 집에서 나갈 일이 없는데 한꺼번에 꾸민거야?ㅋㅋㅋ
5,옷 좀 사입어요~!!!!😂😂
6,저도 겨울옷 없어서 교복위에 밀레블쨘 입구 댕긴다구요..
7,지스타가고싶네요
8,쿠임 블루 형이다!!김파랑!!
9,잘샐겻닫 ㅎㅎㅎ
10,오우 모야ㅏㅏ잘생겼다궁 블짠
11,상향평준홬ㅋㅋㅋㅋㅋㅋㅋㅋㅋ😂😂😂
12,형 일리 누나는 어쩌고 바람피게 연다처럼
13,형...나도 모쏠이야...
14,1년에 한본이라도 김블루 안보면 나 미침ㅋㅎㅋㅎ
15,안녕하세요 혹시 DM 확인 가능하실까요?
16,블루형 사랑해
17,허경영대통령 이제 알아볼때가 되었습니다.
18,김블루 처럼 살아야하는데...나는..
19,👍
20,인생은 진짜 형처럼 ㅋㅋㅋㅋㅋ
21,블루형 인게스타네
22,ㄹㅇㅋㅋ
23,형 추카해 짝짝짝
24,한 번 들어봐야 겠어
25,어쩌면 그.. 진심일지도..?
26,이 곡으로 블루형은 이별을 겪었음을 알수 있다
27,이게 성덕?
28,키잉킹킹킹블루
29,므시따 킹피랑
30,아니ㅋㅋㅋ 형ㅋㅋ 이분 좋아해? 맨날 생방송들어가 있으면 계속 보옄ㅋㅋ
31,와..?
32,오
33,zzz
34,"어머나,,, 너무너무 감사합니다🔥❤️"
35,에일리님한테 대하는것과 너무 다른 무드 ㅋㅋㅋ
36,❤️
37,블루님 이번에UNP팀 핵 의심 영상 보셨나요? 꼭 보십쇼!
38,형 2번사진 번호판 모자이크 않했당^^
39,노을지는게 이쁘네요❤️👏
40,늦은 추삭 잘 보내세요
41,우와 어떻게 저렇게 해를 크게 잘 찍으셨죠?! 댜박!
42,ㅋㅋ 김블루님 인스타계정 있는거 아는 사람 별로 없는데ㅋㅋ
43,2번재 사진 앞에차 번호판이 엄청잘보이네
44,형 저 다리 외국임??
45,헐 블루님이 나랑 같은 동네에 산다니 ㅠ
46,우와 길이렀게 막히는거는 처음본다
47,넵!
48,블루님 배그 많이 해주새여 잘 보고 있고 연다님 하고도 해주세여^_^
49,조심하세여
50,"블루넴, 요즘 심심하세요? 인스타에 요즘 많이 올리시네 ㅋㅋㅋ"
51,ㅗㅜㅑ......✨
52,브레이크 휠 너무 달궈졌네요
53,ㅎㄷㄷㄷ
54,우와(!!!) 연기난다고 저기에 물 뿌리면 어떻게 되는거죠?! +ㅁ+
55,업보는 돌아오는게야
56,ㄴㅇㄱ
57,....불이다!!
58,ㅋㅋㅋㅋㅋ
59,어케함?!
60,ㅇㄴ
61,하세요
62,배린이 김고호 ㅇ;ㅂㄴ;다
63,옆에 누구야ㅋㅋㅋ
64,배그옷 미쳤넼ㅋㅋ
65,에일리…?
66,오ㅋㅋ
67,둘이뭐해???
68,매디킷ㅋㅋㅋㅋㅋㅋ
69,에일리님!
70,매디킷ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ언제나 봐도 웃기네
71,메드킷님은 진짜 ㄹㅇ 월급 줘야됨ㅋㅋㅋㅋㅋ
72,아유 뭘..고마워 할껏가진…ㅎㅎㅎㅎ
73,장생겼노
74,까아약! 넘 멋진거 아니에요?!❤️
75,돈받은 김블루의 모습
76,형 잘있어 🔥🔥😢😢 먼저 갈게 ㅎㄴ
77,누구신지...
78,역시 입금 후 김블루 잘생겼어요오오
79,나이스 꽃미남 김블루
80,입금얼마했지 겁나 잘생겼네 형잘보고있어 트윕이나 윱 계속해줘
81,겁나잘생겼따……
82,오 개멋져형 잘보고 있어
83,킹블루!
84,김블룩님을 찾습니다
85,PCS3보다 블루님이 더 좋다구욧!!항상 응원하구있을게요🔥근데 왤케 살이 빠지셨어요오!!!!!
86,형 사랑해 항상유투브챙겨보고있어 중국이핵써서 강퇴당한일은 신경쓰지말라고하고싶어❤️
87,블루형 잘생겼다 형 갈치 근황은 어때?
88,저옷 배그옷아니냥ㅋㅋ
89,김블루 부캐다ㅋㅋㅋㅋ
90,펍지에게 협박 받았다면 유튜브에서 당근을 흔드세요!
91,멋지네 ㅋㅋ
92,블루형 잘생김
93,침대 정리좀 해
94,형 3뚝 어디서삼? ㅋㅋ
95,호에에 우리블형 드디ㅓ 펍지에 충실한 노예가 됐구나 하핳
96,결국 텁승자가 운전기사룰 발라버렸다는 이야기
97,학생 앉아!! 일어나면 안돼!! 어어?? 뭐하는거야!
98,버스 편-안
99,왕! 에일리님이닷
100,블쨘! 배그하자
101,블루님이 더 잘하면 어떻케?ㅋㅋㅋ
102,블루님이 버스를 태우셔야지
103,"에일리님이랑,"
104,탑승자가 마동석이네
105,탑승자 ㅋㅋㅋㅋ
106,킴블루가??
107,편안
108,블루님 임티면 당근 사야죠♡
109,나 사써 잘했지
110,저팬은아니지만팬처럼사랑해요 ㅋㅋ
111,ㅋㅋㅋㅋㅋㅋ
112,아 지금 살걸....난 이미 저거 니오자 마자 샀는데..
113,😢
114,아주 잘사용 하고있어용❤️
115,1~2둘다 나오자마자 샀다
116,너무 귀엽다아악❤️
117,저 사써오
118,전샀어셔❤️
119,나 이거 샀는데
120,네 따라가겠습니당!
121,형님 따라가겠습니다🔥
122,김블루님 팬이에여
123,중2블루쿤❤️❤️
124,헥..괴여워요..(귀여움에 괴롭다..) 쁠몬 쥭어~~
125,ㅋㅋㅋㅋㅋㅋㅋ
126,커엽다
127,ㅋㅋㅋㅋㅠㅠ커엽누
128,기여워❤️❤️❤️
129,아 귀엽
130,하... 역시 김블루 답네요👏👏
131,ㅋㅋㅋㅋㅋㅋ
132,신발 스리빠 뭐야
133,쓰레빠는 기본ㅋㅋㅋㅋㅋㅋ
134,기사님 머리 .....
135,기사아저씨가 처다보자나 블짠 ㅋㅋㅋ
136,사실 타다가 더 좋음
137,형더
138,올려줘❤️
139,ㅘ! 머기업 카카오!
140,ㅘ 대기업 카카오열매 아시는구나!
141,ㅇㄴㅋㅋㅋㅋ 저기 기사님 눈썹 ㄹㅇ 시강이넼ㅌㅋㅋㅋ
142,ㅋㅋ
143,공룡님 뭐야?😮
144,나가고는 싶다
145,나이가 안돼~~~~~
146,하고싶다..하고싶어..근데 컴배그 하는 법을 몰라ㅠㅠㅠㅠㅠ
147,열심히 응원할게요❗
148,나가고 싶지만 진짜 아마추어라 탈락...ㅜㅜ
149,제가 요즘에 영상을 못봤는데 한중일전 영상나왔어요ㅠ 알려주세요ㅠ
150,연다님도 나감!!!!!
151,대회못나가는배린이:어? 왜 눈에서 물이..
152,유튜버말고 배린이 대회 또 만들어주세요.
153,"블루님.. 모배대회는 안하나요? ㅠㅠ 그리고 모배대회가 열린다고 해도... 티어,실력 다 훨씬 넘는데.. 나이가 안되서 참가를 못해요... 중딩이나 고딩도 하게 해주"
154,❤️
155,형 핵쟁이좀 잡아줘😢😢😢😢😢
156,당근 샀슴닥
157,구매 ㄱㄱ
158,ㅋㅋㅋㅋㅋㅋㅋㅋ귀엽다 샀어요
159,임티 귀욤☆
160,5252난다삼
161,파란 친궄ㅋㅋㅋ
162,그와중에 블루님 유튜브 알림이 엌ㅋ
163,인성터진ㅋㅋ
164,인성터진 파란친궄ㅋㅋㅋㅋㅋㅋ
165,이 임티 레전드
166,임티 다 샀어요
167,후후 이미 사버렸지
168,진짜 너무 잘생겼다😍
169,잘생겼따
170,누구세요...?
171,뭐야 왤케 잘생겼어...
172,보정한건가요?
173,겁자기 입금 전이 보고 싶다... ㅋ 노답 앞머리가 보고 싶ㄷ..
174,잘생겼다
175,잘생겼다😍
176,누구세요
177,Hello
178,누구세여 블루님은 아닌데
179,형 얼굴이 바뀌었는데?
180,와..
181,날개 어디갔어요
182,뒤에 총몇명님 캐릭이 달린 휴지가 ㅋㅋㅋㅋ
183,최고존엄존잘꿀성대스윗가이 김블루! 짱입니다!
184,in게임:사탄 out게임:천사
185,나 쁠몬할래액!!!
186,오빠 손 왜이리 예뻐............😢
187,ㅘ....블쨘....최고다....응원합니다..!!
188,최고존엄존잘꿀성대스윗가이 김블루 진짜 최고 입니다!!
189,👏
190,❤️
191,역시형이야❤️❤️
192,진짜 멋져요👏👏👏👏👏👏이게 작은기부 진짜 갓블루 !!
193,👏👏
194,...?작은기부...맞지..형?
195,블루님 감사합니다❤️
196,😂
197,😢😢
198,👏👏
199,역시천사김블루쨩!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
200,❤️
201,블루님 멋져요👏
202,김블루 팬이아닌사람:우와 천사다
203,빛블루😍
204,존잘 김블루님😍😍😍
205,옷을샀는데... 너무크네..ㅎ
206,중2병인줄
207,이때 부터 19블루 얼굴이 기역나지 않는다..
208,아이보리 맨투맨 너무 이뻐용❤❤❤ 쁠몬 또 쥭어!!
209,"??: 야, 맛있냐?"
210,존잘...
211,와 존잘 모냐고
212,🔥8번재사진이 연다님닮으셨다❤️
213,도발 하지 마세여 나주거~
214,형 초콜릿아니여
215,ㅋㅋ
216,사고 싶었는데 ㅠ ㅠ ㅠㅠㅠ ㅠㅠ ㅠ
217,당근 후드2개 맨투맨3개 모자는안써서 반팔2개 플랙스 했자너
218,아~나도 사고싶다~!어디 팔아요?블짠-?
219,홀리 찟!
220,와오
221,블루님 사칭이 생각보다 많네요:( ㅠㅠ
222,형 나도 형 굿즈 샀다구~후훗...이런이런.....돈을 또 질러버렸군....
223,엄훠나 몰라짜나
224,갖고 싶엇ㄴ누뎅 흐흐유ㅠㅠㅠㅍ
225,다음에는어린쁠몬들을위해 사이즈를좀....
226,저 다음 굿즈는 사이즈좀 작게 만들어 주세요 사이즈가 안 맞아서 못 샀어요😢
227,빨강색을 보니 내 주식이 잘 올라갈 것 가따
228,김블루같이 파랑물총ㅋㅋ 다 명중할듯ㅋㅋㅋㅋㅋㅋ
229,와 모델이여
230,존잘
231,블루님 2021도 앞으로도 건강하시고 재미있는 유튜브 영상 부탁드립니다.블루루루루 잘생겼다
232,왜 난 모델보다 블루님이 더 멋져보이지😮
233,이거 ㄹㅇ 개 이쁨
234,오우 섹시
235,존잘이닥(ू˃̣̣̣̣̣̣︿˂̣̣̣̣̣̣ ू)💖⁺◟(●˙▾˙●)◞⁺💖
236,오옷!!! 니도 이거 사고 싶은데 사이즈가 없어😢
237,ㅈㄴ 잘생김
238,모델보단 블루행님이 쵝오
239,존잘블루님
240,개머싰👏👏👏👏👏👏
241,존멋 김블루님
242,얼짱
243,개 멋있누
244,뒷짐지고있는사진 프로같다
245,잘생 기셧다
246,지금 봐도 잘생곃다👏
247,김파랑 내꺼임
248,일할때 멋있는 남자 블루킴
249,이렇게 듬직해서 잘생긴 남자는 첨봐...><
250,170 만 되니까 화보찍을일도 있구나 ㅋㅋ
251,웃는거 매력 터진다..
252,캐릭터 귀엽다
253,블루님 캐릭터 귀여워요
254,블루님이랑 연다님이세요?
255,블루형37살이라서 kimblue_37이야?
256,👏
257,블짠 최고
258,❤️❤️❤️❤️
259,블형 캐릭터 카와이ㅠㅜ❤️
260,블루님 잘생겼다.
261,내 닉 형이야
262,옆에 연다님 무엇ㅋㅋㅋㅋ
263,그와중에 연다님
264,77ㅓ억
265,ㅋㅋㅋ 이럴 때도 있었지ㅋㅋ
266,77ㅓ억
267,ㅋㅋㅋㅋ 너무 귀엽다. 샌박런 다시 해야겠네
268,ㅋ
269,ㅇㅈ
270,jkjp
271,77ㅓ억
272,ㅋㅋㅋ
273,샌박런 다시 시작해야겠다..
274,❤️🔥
275,잼있따
