,댓글
0,메리크리스마스 🎁🤍🤍
1,메리크리스마스~👍👍👍👍
2,사랑해 메리크리스마스
3,메리 크리스마스 💞💞
4,시발 존나 귀엽네 민정이 멜크 ❤️❤️❤️
5,기여오
6,사랑해 멜크 😘
7,메리크리스마스!!!
8,낙지 개귀엽넼ㅋㅋㅋㅋㅋㅋㅋ
9,도라에몽 시강
10,메리크리스마스🎄
11,🎄메리크리스마스🎅🏻
12,서비스로 미라지 직관 가능한가요??
13,광주로 배달좀....😢
14,"너무 멀다 정민,,,"
15,대박 짱이양
16,마음칙한 배민정
17,안먹을 수가 없겠는걸~~~
18,우왕!! 제가 아는 분은 아차산역에 정성육회 하고계세요!! 싱기싱기😲
19,우리집이랑 완전 가까운데?? ㅎㅎ서비스로 미라지 직관..❤️❤️
20,다짜고짜 배정민 하면 서비스 주나염
21,미라지 직관 가능하면 바로 달려가지 ❤️
22,맨날 가면 한 번 쯤은 오빠 볼 수 있는 거야?
23,@hyeonjively 우리 부산놀러갈까
24,@heoniy 서울로 육회랑 민정이까지 배달점 ~~ 🙌
25,@yaaaooonnnggg 가자
26,@seungjunzz ㅁㅊ 육회
27,@nom0refairytale 부대라는데 접수해야되지않겠나 ? 내 나와바리인데 ㅋ
28,@dengyeon 여기 맛있겠당ㅎ
29,@sikangk 연장챙겨
30,@tae__sun ㅋㅋ
31,@milkydrowsy 니 가라
32,@yalu_yalul 드디어 우리가 갈수잇는곳이 생겻다 육회조지자!
33,@sxoyux 우리 부산가면 대창 말고 이 오빠보러 가야 한다
34,@born2beb1ue 어이 부산대생 가보자고
35,@alswlt 가자 고고
36,ㅋㅋㅋㅋㅋㅋㅋ귀엽냌ㅋㅋㅋㅋ
37,엑스라지 보고싶어
38,진짜 귀여워❤️
39,쫀귀 사룽해...( º﹃º )
40,귀엽다
41,천사
42,꿀꺽 삼켜요?
43,기엽오
44,너무 기엽네
45,냥이이이ㅣ이ㅣ😍❤️
46,너무좋고 ❤️
47,귀여우어 ㅠㅠㅠ
48,머리 언제 짤랏어?
49,야 차은우
50,야 서강준
51,우리 아빠같다
52,미니 군대 다시 가…?
53,쩡미니 오랜만이야 ❤️
54,재입대하는 배정민의 앞날을 축하합니다
55,정해인 아니야?
56,.......! 행복하면 되따...행복하렴🥺
57,sm연습생으로 들어갔다더니 진짜인가보네
58,언제올꺼야 민정아 ㅠㅠㅠㅠ 보고싶다
59,아 군바인가
60,안돼내거야.
61,수상한게 있나봐
62,정미니 아기두더지?
63,노미의 잃어버린 땅콩을
64,미 라지의 소문은 거짓이었던가 😮
65,없는거 찾는듯
66,🔥🔥
67,진짜 넘모 기여워 🥺
68,기엽다 ❤️
69,셀카 좀 올려주시면 감사하겠습니다 선생님... 보고싶습니다
70,사랑해ㅠㅜㅠㅜㅜ프ㅜαθΕ
71,@cy_ye
72,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아
73,와 할만한가?
74,찾았다 내 이상형 ..뚜룬 뚠 뚜룬~~ 라지밖에 안 보인단 말~ 이야~~ 아아~
75,달고나 만든다네 ㅋㅋㅋㅋㅋㅋㅋ
76,"갖고싶다 배정민,,,,,,"
77,안녕하세요:) 협찬건으로 dm드렸습니다! 확인 부탁드려요😊
78,🔥
79,제일 잘생겼어 ㅋㅅㅋ ❤️
80,ㅠㅠ하지망
81,ㅋㅋ 미친
82,@s2_joohee 나 미무야~~~~~~~
83,뽀송뽀송하당
84,어우 섹시해
85,집사가 물에 빠져 위험에 처했다 생각하여 저런 행동을 한다고 합니다 ㅋㅋ
86,배정민... 여며...
87,도대체 누가 찍었는지좀...
88,안대 가려!
89,"@yyww_700 부럽다 라지는 이런 사진도 올려주고 ,,,,,,,,,,,,"
90,카메라가요?
91,귀여워ㅠ
92,일어 나진마세요 제발
93,ㅗㅜ너무야해...
94,ㅋㅋㅋㅋㅋㅋ누가 찍어준거냐궁
95,개기얍넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
96,서비스로 배정민 주나요 매일 방문 딱대
97,@yoodongyoo @tw_wangjanim
98,😍😍😍😍😍😍😍😍😍😍
99,플레이팅 된 사진을 보여주ㅏ
100,오 간지작살 부산 갈게.. 4시간 그거 뭐
101,@chan_p1 용호동짱머네...같은 부산잉데 항시간걸려
102,라지형 dm으로 커피 보내놨엉 확인하고 답장부탁행~ 멋있게 머거 ㅎㅎ!
103,🙌
104,배고프다
105,"부산,, 간다 전남친이 살지만"
106,오 부대근처당 외출나가면 가야징
107,@sh_k102 이거 용호동 박박 맛있는 연어집 혼내주러 가야하나
108,ㅋㅋㅋ그냥 재밌음 미라지
109,❤️
110,@mingi8525 개쎅씨해 씨발
111,@pqkxnkc
112,아니 미라지님 탄산수영상 어딨어여 삭제했나여 ㅠㅠ다시보고싶어유ㅠㅠㅠ
113,@outszi
114,sexy boy MIRAGE
115,배정민 사랑해 추석 잘 보내라고 글 올려 줘 🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍
116,웩
117,@chae_rin1015 야야 니 자기 아닌데 왜 좋아요 누름
118,쏘쎅시 밀라끠
119,@fu__zi59 잔대
120,야옹 😻😽
121,ㅋㅋㅋㅋㅋㅋㅋㅋㅌㅋㅋㅋㅋ미텼나 개기엽네
122,뒤에 깜찍발은 정민이야?
123,😍
124,@cuddly__123 @__97_10_18 @yeonghu33
125,저 주세요.❤️
126,배정민은 안에 구성품으로 없나요
127,전설 스킨이네요!!!
128,고먐미도 주시는건가욤?
129,하아 ㅋ자증나 내껀데
130,너모귀여엉
131,헉 존귀..💛
132,주인 닮는 법이여
133,그집사에 그냥이
134,집사닮아서 커엽네
135,🙌
136,역시 집사 닮아가는군
137,형 왜 저기 누워있어?
138,아웅 귀여워
139,정민이형 왜 소파에서 배보이게 드러누웟어 노미 래미 어디갓어 왜 형만나와
140,@cksjew_3_ 개귀엽네
141,주인 닮앗네!
142,레미 쬬 큣트 🖤
143,야 나도 한마리주라
144,😀👋
145,기욤다
146,김츼! 츼즈! 👏👏
147,궐리사~~~~?
148,빛이 납니다 🖤
149,@ax._.hxx_ 귀여워..
150,비주얼 무슨일이야
151,지건마려워
152,^^
153,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ하 미치게따 배정민....
154,우리 이모 같당👏
155,귀엽거나 잘생기거나 둘 중 하나만 하라고
156,너도 붓니..
157,커엽당
158,아 너무 귀여워 최강미묘야
159,사랑해❤️‍🔥
160,기여워
161,@_adorable__jj 호두가태 ㅠㅠㅠㅠㅠ❤️
162,윽 귀여워 ㅠㅠㅠㅠㅠㅠㅠ
163,🔥
164,🙌
165,❤️❤️❤️❤️❤️
166,💗💗💗💗💗
167,wow 🥺👏🏻♥
168,귀여웡
169,❤️❤️
170,ㅋㅋㅋㅋㅋ노미 뭐 물고 있는 거야??ㅋㅋㅋ
171,정민이형 노미래미 종이 머야
172,강하다 귀여워
173,애용애용김애용
174,노미가 왠일로 힘을쓰네😍
175,개귀엽다
176,귀엽지만 형이 더 귀여움
177,한번물면 절대 놓지않는 맹수 ㄷㄷㄷ
178,오매 털봐
179,아니 고양이 너무귀엽다
180,개기여엉 ㅋㅋ ❤️
181,생일축하해요 번듯한바지님👏👏🥳🎊❤️
