,댓글
0,챔피언
1,사랑해요 .. 💖ㅅ💖
2,@kimye8521 구독박아라 존1나 재밌다
3,오 시발
4,형축하해 이제 5만가자☺️☺️
5,제가 오킹님 주변에 전파하고다닙니다
6,오킹갓!!!!!
7,만카이
8,오킹형사랑해❤️❤️❤️
9,이제 백만이 코앞 ㅋㅎㅋㅎ ❤️
10,형 이제 백만이다 오십육주동안 고생했어!!!!!
11,백만!
12,진짜개잘생겻어요
13,ㄱㅇㅇ오병민..
14,옾눞I�운lY 😭😭😭😭 잘생겼어요 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ👍👍👍👍
15,우와 진짜 개존잘
16,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
17,코파도 잘생겼어❤️❤️
18,5번째 닿을것 같은데? ㄷㄷ
19,코파는게 더 잘생..아냐아냐ㅎㅎ
20,@o1ye_un1219 어킹
21,@rktgusgh 와 ㄹㅇ닮음
22,머지 개잘생겼네
23,뭐야 진짜 개잘생겼네
24,@wnstjdwnstjd 볌미니 진촤 예비역병장같이 생김
25,🔥
26,@f_ptmrl 군복입은 오킹 어때?
27,@joooo0_0y 흐아ㅠ기여워ㅠㅠ
28,@i_am__jin 지우 미래
29,오ㅡ 뭔데
30,오
31,연천와주세요.
32,@doyoung45612 도영ㅇ이는 ㅠㅠ
33,@hyeon_14_ 현철이는 상병이여요 언제쯤 볼 수 있을가요
34,@sj2._.22 솔직히 두 번째 사진 개잘생겼다
35,@ej_sg_0120 야 𝙎𝙄𝘽𝘼𝙇 병미니 왜 개잘생?
36,당신 너무 귀여워😢
37,형도 이제 잔디 스트리머 되는거야??
38,코딱지 보여요
39,@nu_velyy 오병민 귀여워
40,피파보단 병민쓰지!
41,아 난 오빠 얼굴이 넘 재밌어 봐도봐도 안질려 존잘이야 진짜 나 우는중 엉 엉엉 엉 엉 엉
42,그럼 나도 피파할께 오빠
43,오킹형 여기서 뭐해
44,와앙 제가 오킹님 인스타에 올라오다니 ㅠㅠ 넘모 즐거웠습니다 :)
45,잘생겨서 얼굴이 재밌다
46,병민이형 친구들이 나한테 오킹닮았데 칭찬이지..??
47,@l_bin0525 찾았다 내사랑
48,Six덕 건영좌 ㅋㅋㅋㅋㅋㅋ
49,어트카징 ㅠ💕 너무좋아 @yu._.jeoung
50,오빠 저랑 사겨요❤️
51,사랑해
52,오병민 귀요미 개커여워 진짜루
