,댓글
0,정말 축하합니다👏👏👏👏👏👏👏👏👏
1,축하해요~~~👏👏👏👏👏👏
2,축하해요~~~👏👏👏👏👏👏
3,오 대박👍😮🙌 축하 드립니다👏🏻👏🏻
4,돼장님 축하축하 👏👏👏👏👏👏
5,멋져 돼장❤️❤️❤️ 충분히 받을만했쥐. 축하해요!!!!!!
6,형님 축하해요 ㅋㅋ👏👏👏👏👏
7,돼장님 축하축하 👏👏👏
8,와우!! 림보님 축하드려요~~!! 트위치 방송 매일 보고 있는데 넘 재밌어요~~!❤️❤️❤️
9,와 축하해요 돼장ㅋㅋㅋㅋ👏👏👏
10,군쨩👏🏻👏🏻👏🏻👏🏻
11,추카해용👏👏👏😍
12,혹시 주인 닮아서 발바닥이 하얗나요?
13,너무 귀엽따ㅠㅠ❤️ 1등 할 만 했따ㅠㅠㅠ
14,ㅠㅠㅠ너무 귀여워ㅠㅠㅋㅋㅋㅋㅋㅋㅋㅋ
15,커여워 ㅠㅠ 미치겠ㄴ다
16,악!!!!!!!!!!!!!( ꒪⌓꒪)!! 귀여워!!!!!!!!!( ꒪⌓꒪)!!
17,애기야 진짜ㅠㅠㅠㅠㅠ
18,넘 긔엽다 진짜ㅠㅠ 강아지는 주인이랑 많이 닮는다 하던데 진짜 인가봐요ㅠㅠ
19,"돼장님, 넘 귀여워요😍"
20,허엌ㅋㅋㅋ 목걸이 짱ㅋ커ㅠㅠㅠㅠ 짱귀야워ㅠㅠ
21,형 사랑해 강아지도
22,아 귀여워 ㅠㅠㅠㅠ
23,너무 기여워 미치겠네요 보상해주시죠
24,우오옷!!나도 갖고싶당ㅠㅠ
25,👏👏👏👏👏👏👏👏👏👏👏👏❤️❤️😍😍군림보는 대박이에용!!!❤️❤️
26,게임영상 관련 DM 확인 부탁드릴게요~
27,ㅋㅋㅋㅋㅋ 하나만 갖고 싶넼ㅋㅋ
28,안녕하세요 림보님 요즘은 인스타를 안 하시나요??
29,🐷🐷🐷🐷🐷🐷🐷
30,요새 인스타안하시낭요?ㅠㅠ😢
31,가지고 싶다!!! 용돈 모아야징
32,저랑 쇼파똑같아요 대장!!
33,아 귀엽
34,아이 커여워
35,ㅠ 군림보님 저랑 배그 하면 재미를 일겨줄수있습니다 배린이ffuds입니다 제발ㅠ하고싶어요😢🔥
36,군림보100만 가자!!!!!!!👏👏👏
37,무야호~
38,돼장님 왜 거기계세용
39,와 서울 오셨었구나!!!
40,아 근데 저 지금 서울 산지 5년 되었는데 생각해보니 남산은 한 번도 안 가본 거 같아요 ㅋㅋ
41,역시 컴퓨터는 컴마왕..?
42,무야호!!
43,ㄴㅇㄱ!
44,돼장..내가 돼장의 구독자여서 너무 좋아😍
45,무~야~호
46,전 가봤어욥!! 예뻐요 야경도요
47,형?? 나 5월 14일에 거기 있었어!!!!! 왜 난 형을 못본거지...
48,나 부산 살아서 해운데 자주 가는데 저기는 해운데랑 .. 비교도...할 수 ..없을 정도군 (크흡)
49,하긴 밤에도 이쁘니까
50,와~ 역시 꿀잼 유튜버
51,와..엄청 예뻐요!! 낮에 보는것도 예쁜데 밤엔 더이쁘네요...!!!
52,마 부산 아이가 아이가?
53,저 어제 부산에 여행 왔어요ㅎㅎ
54,우와 장관이다
55,LCT입니다
56,너무 예뻐요😍
57,형 지인이 그 초고층 아파트 나나보네
58,와
59,와
60,"갑자기 4년전 영상생각나네 3년전인가? 여튼 막 트수들이 알공하면 안되냐고 물어봐서 돼장이 얼굴 빈만 보여준거 생각난다(""쉐키 니 군림보!""이거 중독성 있엉)"
61,돼자앙 ㅜ나ㅠ오늘 콩쿨 했는데 다 틀렸어ㅓㅜㅜㅜㅜ 엄마한테 죽을거같은데 어케 ㅜㅜ아저씨이ㅜ?(군림보 올해 50아니냐 아닌가 33인가?)
62,군림보님 혹시 팬미팅 계획없으신가요~~
63,아 영혼없다
64,발바닥은 하양색이라더니 ㅋㅋㅋ 오늘 서울 눈이 하얗게 변했구만 ㅋㅋㅋㅋ
