,댓글
0,cute
1,새봄추 좋아~ 화이팅😍😍😍
2,Saddummy!! 😊
3,❤️❤️
4,❤️
5,쵝오다 ㅅㅂㅊ!
6,ㅅㅂㅊ
7,ㅅㅂㅊ
8,ㅅㅂㅊ
9,ㅅㅂㅊ
10,ㅅㅂㅊ
11,누나 아까 낮방도 하던데 아침까지...?
12,너무 커엽다❤️
13,💜
14,❤️❤️❤️
15,😍😍😍
16,Saddummy!! 👧🏻
17,ㅅㅂㅊ
18,ㅅㅂㅊ
19,ㅅㅂㅊ
20,ㅅㅂㅊ
21,@_mh_i4ppp 하..쏘큩
22,새봄님 질문있어요..! 공지(인스타)에 올릴 사진은 어떻게 정하시나요..?
23,ㅅㅂㅊ 사랑해~ 너무너무 사랑해~ 보고싶어~😍😍😍
24,새봄추 커엽다냥
25,화이팅!
26,❤️
27,❤️
28,❤️
29,Saddummy!!! 👫
30,ㅅㅂㅊ
31,ㅅㅂㅊ
32,ㅅㅂㅊ
33,ㅅㅂㅊ
34,"와… 박수와 감탄밖엔 ,,, 👍 리얼 과장 하나 없이 미모 미쳤고 눈매가 레전드에용 ㅠㅠ 이런 아름다움은 유니콘아
닌가용??😍

매일 아침마다 어떤 옷 입을까, 입을 옷 없어서 걱정하시나요? 1,500벌 브랜드 옷으로만 준비해 봤습니다! 오늘룩
모델 지원은 어떠세요?👀 ❤"
35,새봄추 커엽다냥
36,xx
37,❤️
38,은도링
39,ㅅㅂㅊ 따랑해~😍😍😍
40,Saddummy 🐰
41,ㅅㅂㅊ
42,ㅅㅂㅊ
43,ㅅㅂㅊ
44,ㅅㅂㅊ
45,ㅅㅂㅊ
46,아 ㅋㅋ 링크 그렇게 하는거 아닌데 ㅋㅋ
47,새봄추 안되는 링크 올리고 사라진거 커엽ㅋㅋㅋㅋㅋㅋ
48,때봄츄! 링크가 안눌러진다냥 💦
49,제의견보다 다른분들 의견이 항상궁금해서 고티는 구경하는거같네영
50,새봄추 안되는 링크 올리고 사라진거 커엽ㅋㅋㅋㅋㅋㅋ
51,새봄추 섹시해😂
52,때봄츄! 봄고티 넘나기댘ㅋㅋㅋ
53,새봄아.. 💜
54,링크가 안눌러진다냥
55,오리냥이! 커여워
56,나 당첨시켜줘랑
57,세봄님 커여워요오오오>_<
58,어머 너무 귀여우시다😍
59,솔직히 요즘 연애하죠? 갈수록 이뻐지시네요...
60,새봄추 화이팅~
61,새봄추!
62,멍멍
63,❤️
64,Saddummy!! 😍❤️
65,야 서새봄 💜
66,ㅅㅂㅊ
67,ㅅㅂㅊ
68,ㅅㅂㅊ
69,ㅅㅂㅊ
70,새봄추의 남친이 되고 싶습니다😍
71,xx
72,ㅎ
73,👏👏👏
74,❤️
75,😍😍💯
76,❤️
77,Saddummy!!! 🌹
78,ㅅㅂㅊ
79,ㅅㅂㅊ
80,ㅅㅂㅊ
81,ㅅㅂㅊ
82,ㅅㅂㅊ ٩( 'ω'  )و
83,ㅅㅂㅊ
84,❤️
85,새봄추 화이팅!😍😍😍
86,ㅅㅂㅊ
87,Hi low
88,ㅅㅂㅊ❤️
89,늦었지만 새봄님도 새해 복 많이 받으세요
90,Saddummy!!! 😁
91,ㅅㅂㅊ
92,고맙다냥
93,새봄추
94,❤️
95,💜
96,😍😍😍
97,❤️
98,❤️
99,Saddummy!!! ⭐
100,ㅅㅂㅊ
101,ㅅㅂㅊ
102,ㅅㅂㅊ
103,ㅅㅂㅊ
104,세번추!
105,와! 소풍추!
106,😍😍😍
107,❤️
108,❤️
109,Saddummy!!! 🌍
110,ㅅㅂㅊ
111,ㅅㅂㅊ
112,ㅅㅂㅊ
113,ㅅㅂㅊ
114,@_mh_i4ppp 와.....👏👏👏
115,ㅅㅂㅊ 화이팅! 사랑해~😍😍😍
116,진짜예뻐💜
117,오늘도 하이띵
118,때보미~
119,woof woof
120,❤️
121,Saddummy!! 💌
122,ㅅㅂㅊ
123,ㅅㅂㅊ
124,ㅅㅂㅊ
125,ㅅㅂㅊ
126,ㅅㅂㅊ 화이팅! 따랑해~😍😍😍
127,❤️.❤️
128,은도링 좀있다보잣
129,Happt22
130,Happy new Year!!!
131,고맙다냥
132,ㅋㅇㅇ
133,❤️❤️
134,❤️
135,💜
136,Saddummy!!! ✊
137,ㅅㅂㅊ
138,Happy New Year ❤️❤️❤️❤️
139,새봄추 너무너무 커여워~!😍😍😍
140,새봄님 2022년 새해 복 많이 받으세요❤️
141,❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️
142,트위치 대통령❤️
143,커여워❤️
144,오예! 두둠칫~
145,Happy22
146,❤️❤️❤️
147,🐈🍖💜
148,Saddummy!!!😮
149,ㅅㅂㅊ
150,새봄츄 !!! ❤️❤️🔥
151,새봄추 화이팅~ 따랑해😍😍😍
152,🐈새해 복 많이 받아!💜
153,Happy New year
154,2022 새해 복 많이 받으세요~
155,새해 복 많이 받으세요
156,새해 복 많이 받아요
157,❤️❤️❤️
158,❤️
159,Saddummy!!! Happy New Year 🥳🎊🎉
160,ㅅㅂㅊ
161,ㅅㅂㅊ
162,새봄추 화이팅!😍😍😍
163,정성 추
164,❤️❤️❤️
165,❤️
166,💜
167,❤️
168,범인 미라지네 ㅋ
169,Saddummy!!😎😎😎
170,ㅅㅂㅊ
171,ㅅㅂㅊ
172,ㅅㅂㅊ
173,ㅅㅂㅊ
174,ㅅㅂㅊ
175,ㅅㅂㅊ ٩( 'ω'  )و
176,ㅅㅂㅊ❤️
177,❤️
178,ㅅㅂㅊ
179,Saddummy!!!! 😁😁😁
180,ㅅㅂㅊ
181,ㅅㅂㅊ
182,ㅅㅂㅊ 화이팅!
183,ㅅㅂㅊ
184,새봄추 화이팅!😍😍😍
185,봄추 오늘 너무 예뻐요
186,xoxo
187,😍😍😍
188,💜
189,❤️
190,i love you Saddummy!!! 💐🌹♥️
191,ㅅㅂㅊ
192,ㅅㅂㅊ
193,ㅅㅂㅊ
194,ㅅㅂㅊ
195,ㅅㅂㅊ
196,😍💯😍 캬! 화이팅!
197,Happy Holidays
198,봄츄 봄츄
199,❤️
200,Saddummy!!! ❄️
201,ㅅㅂㅊ
202,ㅅㅂㅊ
203,ㅅㅂㅊ
204,ㅅㅂㅊ
205,뭐야 새봄추 아니 봄돌푸 ㅋㅋㅋㅋㅋㄱ 넘 귀엽
206,Likeablella galley resha
207,악!!귀엽습니다~!!!♡
208,졸귀다 ㄷㄷ
209,🔥🔥🔥🔥
210,❤️
211,새돌프 !
212,루돌프 새봄 화이팅!
213,Saddummy!!! 🦌
214,ㅅㅂㅊ
215,ㅅㅂㅊ
216,ㅅㅂㅊ
217,🥰🥰🥰🥰🥰🥰🥰🥰😘😘😘🌹🌹🌹🌹🌹💖💖💖💖💖💖💖💖💖💖
218,😍😍새봄추 화이팅! 메리크리스마스!😍
219,메리크리스마스 봄추누나😮😮
220,이런분이 진짜 누님이신가?😍
221,Saddummy!!! 🎄🎅Merry Christmas
222,jingle bells
223,진짜 최고다 새봄추
224,메리크리스마스!
225,ㅘ…👏
226,섹시 새봄추!!
227,ㅎ
228,🔥🔥🔥
229,오늘 의상 핫하다!!!!! 러블리 새봄추 화이팅!😍😍😍
230,❤️❤️❤️ cute and beautiful so adorable
231,으아니 오늘 완전.. 😍
232,감기걸릴라…🔥
233,크리스마스봄추!
234,와 이쁜산타
235,누님..👏
236,ㅓㅜㅑ
237,🔥🔥🔥❤️❤️❤️
238,😍😍😍😍😍
239,ㅗㅜㅑ
240,😮😮
241,ㅅㅂㅊ 화이팅! 솔로청산가즈아!
242,산타추!
243,tqc
244,❤️
245,Saddummy!!! 🇪🇸🎅🇰🇷
246,ㅅㅂㅊ
247,ㅅㅂㅊ
248,ㅅㅂㅊ
249,ㅅㅂㅊ
250,ㅅㅂㅊ
251,ㅅㅂㅊ
252,@_mh_i4ppp 와우
253,점점 고데기 잘하는 모습 ㅇㅈ! 새봄추 하이팅!💯💯💯
254,커여워
255,ㅎㅇㅌ
256,❤️
257,ㅅㅂㅊ
258,ㅅㅂㅊ
259,ㅅㅂㅊ
260,ㅅㅂㅊ
261,ㅅㅂㅊ
262,3부가 땡긴다니...! 새봄님 화이팅❤️❤️❤️
263,새봄추 화이팅!👏👏💯
