,댓글
0,니가 더
1,니가 더
2,실프 피규어도 나오먄 귀엽겠다!😍
3,오오 피규어 귀엽닼 실프님집이 드디어 인테리어 생기네요ㅋㅋㅋ
4,주인 닮아서 귀엽게 생겼네요 ❤️
5,커엽....❤️
6,피규어 너무 귀엽네요^^
7,귀여워 ㅋㅋㅋㅋㅋㅋ
8,실프님이 더 귀여우셔요!
9,오 커엽다
10,예쁘다!
11,님이 더
12,소라 ㅜㅠㅠ 너무 귀여워.❤️❤️ 실프 메리크리스마스~🥰😊
13,ㅋㅋㅋㅋㅋㅋ 완전 옷 안으로 파고드네 너무 귀요미❤️ 소라랑 실프도 메리크리스마스!!🎄🎄
14,귀 접히면서 볼 오동통 해지는거 먼데 ㅜㅜ 진짜 기엽다 ㅜㅜㅜㅜ 소라쨩 ㅜㅜ 🥺❤️
15,소라 귀여워요❤️❤️ 실프님 그리스마스 잘보내세요^^
16,부럽다... 소라 너무 귀여워ㅜㅜㅜ 실프님 메리크리스마스!🎄
17,둘이 사이 넘 좋아보영 귀여워😂 실프님 메리클스마스!❤️
18,실프 매리크리스마스~🎄🎄
19,메리크리스마스~소라 귀여워라❤️ 씻을때 얌전한가요??
20,소라 너무 커여워❤️❤️ 실프 메리크리스마스!
21,너무 귀여워~~ 실프님 메리 크리스마스🎄
22,으악 ㅜㅜㅜㅜㅜ 왤케 기여워.... 이미 실프님 배를 눕는 곳으로 삼았네 ..!
23,아구 이쁜이 ㅜㅜ 실프님 메리 크리스마스~~!
24,너무 귀엽당 ❤️❤️❤️
25,졸귀❤️😍
26,고양이 귀여워요❤️❤️
27,소라도 상자 좋아하는구나!!
28,호에엥 소라 너무 귀여워ㅠㅠ 박스가 큰건가 소라가 아직 작네ㅋㅋㅋ 커엽ㅠ
29,실프 오뱅있?
30,아 귀여워ㅠㅠㅠㅠ💛
31,허르 ㅜㅜㅜ 너무 귀여운데요ㅠㅠㅠ
32,커여웡ㅎㅎ 이제 무늬 슬슬 나오나
33,ㅇㅅㅇ
34,표정 진짜 ㅇㅅㅇ이네요ㅋㅋㅋㅋ
35,꼬리봐...목도리 해보고 싶다
36,그래서 이따 방송킨단말이죠? 기가릴꼬얌🤣 굿즈는 이미 다 샀지 실프 굿즈 못참아ㅋㅋㅋ
37,마우스 좋아보이네요 나중에 유튜브에도 올려주세묘ㅎㅎ
38,마우스는 잘 모르지만 실푸 맘에 들었으면 좋겠네용
39,오 이거 사셨구나
40,괜찮다 하시면 바로 사러간다…
41,오빠도 샀구나?
42,헐 우드형님...
43,아앗... 그 303...
44,엌 이거 관심있으실줄 알았음 ㅋㅋㅋ
45,오호
46,오
47,❤️❤️
48,화가난 표정.ㅋㅋ
49,소라 ㅜㅠㅠ 너무 귀엽다... ❤️❤️😍
50,눈빛이 진짜 불만 가득해보여ㅋㅋㅋㅋㅋㅋ 귀엽다
51,소라 너무 귀여워요:)
52,이게 귀여움이지❤️❤️❤️
53,미쳣다..
54,기야워..............
55,저 불만 가득한 눈 너무 귀여워..
56,소라 커엽ㅜㅜ❣ 근데 저번에 보여준거말구 최근 소라사진 줘요ㅜㅜㅜㅜㅜ😢😢
57,이목구비가 너무 이쁜데
58,더올려줘 올려줘 ㅠㅠㅠㅠ
59,소라 너무 커여워ㅠㅍ
60,실프님 굿즈ㅎㅎ 좋네요^^
61,와ㅏ 실프 굿즈!!!
62,(feat.김뚜띠유투브)
63,와..사고싶다;;;
64,뚜실 다사~~~~~~~~
65,너무 사고 싶드아...
66,와! 실프 굿즈
67,바로질러~
68,역시 뚜실 커플이지..
69,나는 왜 feat) 저게 눈에 더들어오지?ㅋㅋ
70,앙증맞아 넘 기요오❤️
71,고양이 원래 안씹어요!! 어금니가 없어요 꿀꺽 삼켜서 위액으로 사료 녹여먹어요! 그래서 조금씩 자주 먹습니다 ㅎ
