,댓글
0,잘잤나보네
1,그만자
2,아이씨
3,뭐야 개잘생겼아
4,❤️❤️❤️🔥🔥🔥😍🔥😍🔥😍🔥😍🔥🥺🥺🥺🤍🤍🤍🤍🥺🤎🤎🤎🤎🤎🥺🤍🤎🤍🤍🤍😻😻😻😻
5,기여웡
6,홀쭉해졌네?
7,토미는 괜찮아용..? 물어보면 너무 실례일까요..? 😢
8,뭐지 존잘이네😢❤️👏
9,항상예뻐 리따이준 오늘도 빠이링~̆̈🔥
10,완존 잘생겨따..존잘❤️😍
11,조용해서 잠 잘 오겠다
12,"지금 정신없고 멘탈 나가서 판단이 되지 않는다는 말에 댓글 남길게 ㅠㅜ
병원으로 가서 현장에서 핸드폰으로 사진 보낸분 누구신지 확인하고 앨범 볼 수 있냐구 물어본 후 보내주신 사진 당일 사진 맞았는지 촬영날짜 확인 해보구
큰 병원이면 cctv 설치 되어 있을테니
토미 케어 했던 시간 영상들 다 봐야겠다고 하는게 좋을 듯 해 전신마취 까지 해야 할 상황이 병원에서 입원하는 동안 본인들의 부주의로 생겼는데 그 상황을 보호자 입장에선 당연히 보여줘야 하지 않나 싶어 본인들 잘못으로 애기 수술을 하고 입원기간까지 길어졌는데 비용을 내는게 아니라 보상을 받아야지 지들이 그렇게만들어 놓고 케어 못하겠다고 한건 진짜 미친거 같은데 우선은 토미 괜찮아질때까지 다른병원에 케어 맡기고 영수증 청구 하겠다고 해야할 것 같아
감정적이게 대처하면 우리 직업은 피해를 많이 보니깐 힘들더라도 지금은 토미 안전한 곳으로 옮기고 토미 상태 괜찮아지면 그때 저 미친 병원 믿고 가는 사람 없도록 확인 된 사실들로 공론화 시키는게 좋을 것 같아"
13,"그니까 정리하자면 병원에서 수술을 받고 입원해있는 도중 병원에서 사고가 나서 전신마취 수술을 하게 됐고 그동안 토미사진을 여러장 보내줬는데 몇일전에 찍어준 사진으로 재탕한데다가 또 전신마취 수술을 하게 돼서 병원에 찾아갔는데 지들 실수니까 지들이 돈 안받고 케어하겠다- 그래서 넌 알겠다고하고 넘어갔는데, 오늘 와서 토미가 스트레스 받는다고 케어 못할것같다고 발뺀다는거 맞지 ?"
14,저 동물병원에서 일 하는 사람인데 대형견 입원장 있을정도의 병원이면 cctv 다 있으니까 꼭 확인하시고 위 내시경이든 장절개 수술이든 하면 이물 뭐 먹었는지 나오니까 꼭 따지고...원래 수술하고 밥말고는 먹이면 안 되는게 맞아요 애초에 수술하고 며칠은 혹시나 해서 밥도 안 먹이고 수액만 맞히는 경우도 있어요 그리고 차트 작성때문에 수술할 때 사진들 찍어뒀을테니 첫번째 수술 때 사진 꼭 보여달라고 하세요 믿음이 없으니까...ㅠㅠ 다른 병원가서 검진 꼭 하고 토미가 힘들겠지만 주인이 파이팅해야 토미도 힘내니까...녹음 꼭 하고 이름 꼭 알리세요 ㅠㅠ
15,"다른 병원 가서 토미 건강 먼저 검사 받고 그 진단서 증거로 가지고 계세요. 이상 없다면 다행이지만 문제가 발견되면 자기들은 케어 잘 했는데 데리고 가면서 그런거 아니냐 발뺌할 수도 있고 암튼
너무 감정적으로 말하면 그 쪽에서 꼬리잡기 식으로 보호자 책임으로 늘어질 수 있으니까 감정 좀 다스리고 일 진행해요"
